CODIGO_EMPRESA;CODIGO_CENTRO_CUSTO;NOME_CENTRO_CUSTO;DATA_CRIACAO;DATA_EXTINCAO
008;126;SANTA CRUZ;1980-01-01;2024-07-31
008;198;BAGE;1980-01-01;2999-12-31
008;587;ARROIO DO TIGRE;2025-02-01;2999-12-31
008;112;IJUI;1980-01-01;2024-07-31
008;825;COMPRAS ARRAZZO;1980-01-01;2024-07-31
008;785;PESQUISA E DESENVOLVIMENTO P&D;2022-09-01;2025-07-31
008;297;VACARIA;1980-01-01;2999-12-31
008;7541;CIA ROSÁRIO DO SUL;2020-06-01;2999-12-31
008;467;ALEGRETE;2012-03-01;2999-12-31
008;7504;CIA CERRO LARGO;2020-11-02;2999-12-31
008;7112;CIA IJUI;2020-09-01;2999-12-31
008;768;INFRAESTRUTURA, SUPORTE E GESTÃO;1980-01-01;2024-07-31
008;357;NOVA PRATA;2006-11-01;2999-12-31
008;540;SOLEDADE;2016-04-01;2999-12-31
008;278;URUGUAIANA;1980-01-01;2999-12-31
008;705;PRESIDENCIA;1980-01-01;2999-12-31
008;588;PORTO UNIAO;2025-03-01;2999-12-31
008;264;PANAMBI;1980-01-01;2999-12-31
008;7084;CIA BENTO GONCALVES;2021-05-01;2999-12-31
008;381;LARANJEIRAS DO SUL;2007-10-01;2999-12-31
008;592;PASSO FUNDO;2025-02-11;2999-12-31
008;7022;CIA CANOAS;2020-11-02;2999-12-31
008;613;TRES DE MAIO;2022-04-01;2999-12-31
008;524;TEUTONIA;2014-10-01;2999-12-31
008;362;TENENTE PORTELA;2007-04-01;2999-12-31
008;341;NAO ME TOQUE;2006-07-01;2999-12-31
008;550;PLANALTO;2017-09-01;2999-12-31
008;633;SAO MATEUS DO SUL;2023-03-01;2999-12-31
008;374;LAGES;2007-08-01;2999-12-31
008;582;SANTA MARIA;2019-10-01;2999-12-31
008;7133;CIA CURITIBANOS;2021-05-01;2999-12-31
008;7488;CIA NOVO HAMBURGO;2020-07-01;2999-12-31
008;7620;CIA SAO GABRIEL 7620;2022-04-01;2999-12-31
008;7173;GRAZZIOTIN SA PORTO ALEGRE 173;2019-10-01;2999-12-31
008;706;ASSESSORIA DIRETORIA;2024-04-01;2999-12-31
008;055;CRUZ ALTA;1980-01-01;2999-12-31
008;518;ITAIOPOLIS;2014-09-01;2999-12-31
008;595;CHAPECO;2021-09-01;2999-12-31
008;7602;CIA NAO ME TOQUE 7602;2021-08-05;2999-12-31
008;125;ERECHIM;1980-01-01;2999-12-31
008;253;ITAJAI;1980-01-01;2999-12-31
008;765;CAD;2017-05-01;2024-07-31
008;366;QUARAI;2007-06-01;2999-12-31
008;449;SAO JOAQUIM;2011-02-01;2999-12-31
008;617;SARANDI;2022-01-03;2999-12-31
008;453;RODEIO BONITO;2011-05-01;2999-12-31
008;073;TRES COROAS;1980-01-01;2999-12-31
008;019;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;285;SANTA CRUZ;1980-01-01;2999-12-31
008;160;CURITIBANOS;1980-01-01;2999-12-31
008;364;CAMPOS NOVOS;2007-05-01;2999-12-31
008;7582;CIA SANTA MARIA;2020-07-01;2999-12-31
008;645;TRES PASSOS;2024-07-01;2999-12-31
008;537;SANTO ANGELO;2015-11-01;2999-12-31
008;7437;CIA SAO LUIZ GONZAGA 7437;2022-01-03;2999-12-31
008;352;MONTENEGRO;2006-09-01;2999-12-31
008;7589;CIA NOVO HAMBURGO 7589;2021-08-01;2999-12-31
008;7268;CIA SANTA CRUZ;2020-06-01;2999-12-31
008;455;ITAQUI;2011-05-01;2999-12-31
008;7500;CIA CAXIAS DO SUL;2020-07-01;2999-12-31
008;305;IJUI;1980-01-01;2999-12-31
008;722;CONTROLE DE QUALIDADE;2022-10-04;2999-12-31
008;416;FRAIBURGO;2008-12-01;2999-12-31
008;510;VACARIA;2014-04-01;2999-12-31
008;015;SANTO ANGELO I;1980-01-01;2024-07-31
008;768;INFORMATICA;2017-05-01;2999-12-31
008;028;NOVA PRATA;1980-01-01;2999-12-31
008;187;LAGOA VERMELHA;1980-01-01;2999-12-31
008;302;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;601;SANTA MARIA;2025-03-01;2999-12-31
008;511;HORIZONTINA;2014-07-01;2999-12-31
008;095;SAO BORJA;1980-01-01;2024-07-31
008;7637;CIA BAGE 7637;2023-11-01;2999-12-31
008;663;TOLEDO 663;2025-08-01;2999-12-31
008;133;CURITIBANOS;1980-01-01;2999-12-31
008;395;CHAPECO;2008-02-01;2999-12-31
008;730;DIRETORIA ADMINISTRATIVA;2019-02-01;2024-11-30
008;632;SANTA VITORIA DO PALMAR;2023-01-01;2999-12-31
008;033;SANTO ANGELO;1980-01-01;2999-12-31
008;7568;CIA - RIO PARDO;2020-05-02;2999-12-31
008;219;LAGOA VERMELHA;1980-01-01;2999-12-31
008;611;ESPUMOSO;2022-01-03;2999-12-31
008;763;DECRE;1980-01-01;2024-07-31
008;129;PALMEIRA DAS MISSOES;1980-01-01;2999-12-31
008;563;SAO SEBASTIAO DO CAI;2018-02-02;2999-12-31
008;7588;CIA PORTO UNIAO;2020-10-30;2999-12-31
008;7092;CIA VACARIA;2020-06-01;2999-12-31
008;336;SAO SEBASTIAO DO CAI;2006-10-01;2999-12-31
008;7314;CIA TRES DE MAIO;2020-11-02;2999-12-31
008;476;SANTO AUGUSTO;2012-09-01;2999-12-31
008;465;SAO JERONIMO;2011-11-01;2999-12-31
008;7140;CIA UNIAO DA VITORIA;2020-09-01;2999-12-31
008;151;RIO GRANDE;1980-01-01;2999-12-31
008;7643;CIA PATO BRANCO 7643;2024-06-01;2999-12-31
008;900;LOGISTICA;2014-01-01;2999-12-31
008;163;CRUZ ALTA;1980-01-01;2999-12-31
008;7008;CIA - PALMEIRA DAS MISSOES;2020-05-02;2999-12-31
008;155;SAO LUIZ GONZAGA;1980-01-01;2999-12-31
008;1566;PORTO ALEGRE;2018-04-02;2999-12-31
008;407;RESTINGA SECA;2008-08-01;2999-12-31
008;504;CERRO LARGO;2014-03-01;2999-12-31
008;575;CLEVELANDIA;2018-08-22;2999-12-31
008;315;SAO PEDRO DO SUL;1980-01-01;2999-12-31
008;477;TAPEJARA;2012-08-01;2999-12-31
008;668;BAGE;2025-11-01;2999-12-31
008;343;SAO FRANCISCO DE PAULA;2006-07-01;2999-12-31
008;506;ROSARIO DO SUL;2014-03-01;2999-12-31
008;596;IJUI;2021-06-01;2999-12-31
008;447;URUGUAIANA;2011-01-01;2999-12-31
008;438;IBIRUBA;2010-03-01;2999-12-31
008;543;GARIBALDI;2017-05-01;2999-12-31
008;356;SANANDUVA;2006-10-01;2999-12-31
008;811;DIRETORIA GRAZZIOTIN;1980-01-01;2019-02-04
008;851;DIRETORIA TOTTAL;1980-01-01;2019-02-04
008;184;BAGE 184;1980-01-01;2999-12-31
008;051;GIRUA;1980-01-01;2024-07-31
008;556;TAPERA;2017-11-09;2999-12-31
008;075;DOIS VIZINHOS;1980-01-01;2999-12-31
008;780;DIRETORIA RECURSOS HUMANOS;1980-01-01;2999-12-31
008;584;PASSO FUNDO;2020-10-01;2999-12-31
008;256;SANTA MARIA;1980-01-01;2999-12-31
008;401;JULIO DE CASTILHOS;2008-05-01;2999-12-31
008;002;CACHOEIRINHA;1980-01-01;2024-07-31
008;721;MARKETING;2020-04-01;2999-12-31
008;648;SAO LEOPOLDO;2024-10-01;2999-12-31
008;7540;CIA SOLEDADE;2020-09-01;2999-12-31
008;052;PATO BRANCO;1980-01-01;2999-12-31
008;023;SAO FCO DE ASSIS;1980-01-01;2999-12-31
008;498;PASSO FUNDO;2013-09-01;2999-12-31
008;463;CAMAQUA;2011-10-01;2999-12-31
008;529;PASSO FUNDO;2015-03-01;2999-12-31
008;412;SAO LEOPOLDO;2008-10-01;2999-12-31
008;392;ARROIO GRANDE;2007-12-01;2999-12-31
008;113;TRES PASSOS;1980-01-01;2024-07-31
008;494;TRIUNFO;2013-06-01;2999-12-31
008;262;CAXIAS DO SUL;1980-01-01;2999-12-31
008;585;TUPARENDI;2020-10-01;2999-12-31
008;241;ERECHIM;1980-01-01;2999-12-31
008;303;CACHOEIRINHA;1980-01-01;2999-12-31
008;762;JURIDICA;2018-10-11;2019-02-04
008;368;IRATI;2007-07-01;2999-12-31
008;365;TAPES;2007-08-01;2999-12-31
008;153;PELOTAS;1980-01-01;2999-12-31
008;254;PELOTAS;1980-01-01;2999-12-31
008;117;SOLEDADE;1980-01-01;2024-07-31
008;769;TECNOLOGIA E INOVAÇÃO;2019-02-01;2999-12-31
008;7524;CIA TEUTONIA;2020-10-01;2999-12-31
008;7138;CIA RIO GRANDE;2020-09-01;2999-12-31
008;370;SANTO ANTONIO DA PATRULHA;2007-06-01;2999-12-31
008;034;BAGE;1980-01-01;2999-12-31
008;558;PIRAI DO SUL;2017-11-21;2999-12-31
008;304;FRANCISCO BEALTRAO;1980-01-01;2999-12-31
008;004;ERECHIM I;1980-01-01;2999-12-31
008;655;PASSO FUNDO;2025-05-01;2999-12-31
008;607;PONTA GROSSA;2022-01-24;2999-12-31
008;770;CONTABILIDADE;2017-05-01;2999-12-31
008;626;MARAU;2022-05-01;2999-12-31
008;493;PASSO FUNDO;2013-06-01;2999-12-31
008;541;ROSARIO DO SUL;2016-04-01;2999-12-31
