codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;nome_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial
008;481;;PRM PORTO ALEGRE;PROTASIO ALVES;SALA 02;5735;1636;RS;4314902;0;0;;F;1;92012467048105;;;;4781400;4781;;0;4781400;;AV;91310003
008;482;;GRZ LAGOA VERMELHA;AFONSO PENA;SALA 02;581;272;RS;4311304;0;0;;F;1;92012467048296;;;;4781400;4781;;0;4781400;;AV;95300000
008;483;;PRM SAO MIGUEL DO OESTE;SANTOS DUMONT;SALA 01;525;1730;SC;4217204;0;0;;F;1;92012467048377;;;;4781400;4781;;0;4781400;;R;89900000
008;484;;PRM CACADOR;BARAO DO RIO BRANCO;;875;631;SC;4203006;0;0;;F;1;92012467048458;;;;4781400;4781;;0;4781400;;AV;89500019
008;485;;GRZ CACADOR;BARAO DO RIO BRANCO;;875;631;SC;4203006;0;0;;F;1;92012467048539;;;;4781400;4781;;0;4781400;;AV;89500019
008;486;;PRM NOVO HAMBURGO;LIMA E SILVA;;433;857;RS;4313409;0;0;;F;1;92012467048610;;;;4781400;4781;;0;4781400;;R;93510030
008;487;;PRM SAPIRANGA;SAO PEDRO;;66;3297;RS;4319901;0;0;;F;1;92012467048709;;;;4781400;4781;;0;4781400;;R;93800000
008;488;;GRZ NOVO HAMBURGO;CINCO DE ABRIL;;614;603;RS;4313409;0;0;;F;1;92012467048881;;;;4781400;4781;;0;4781400;;R;93510036
008;489;;PRM ESTRELA;CORONEL MUSSNICH;;566;2581;RS;4307807;0;0;;F;1;92012467048962;;;;4781400;4781;;0;4781400;;R;95880000
008;490;;GRZ MONTENEGRO;RAMIRO BARCELOS;SALA 1;1883;255;RS;4312401;0;0;;F;1;92012467049004;;;;4781400;4781;;0;4781400;;R;95780000
008;491;;GRZ LAJEADO;CORONEL JOAO BATISTA DE MELLO;;234;1123;RS;4311403;0;0;;F;1;92012467049187;;;;4781400;4781;;0;4781400;;R;95900182
008;492;;GRZ PIRATINI;CERRO ALEGRE;;1;5834;RS;4314605;0;0;;F;1;92012467049268;;;;4781400;4781;;0;4781400;;EST;96490000
008;493;;PRM PASSO FUNDO;BRASIL LESTE;;1055;5;RS;4314100;0;0;;F;1;92012467049349;;;;4781400;4781;;0;4781400;;AV;99050073
008;494;;TOT TRIUNFO;LUIZ BARRETO;;519;3313;RS;4322004;0;0;;F;1;92012467049420;;;;4759899;4781;;0;4759899;;R;95840000
008;495;;FRG LAJEADO;ALBERTO TORRES;LOJA 01;517;1123;RS;4311403;0;0;;F;1;92012467049500;;;;4781400;4781;;0;4781400;;R;95900000
008;496;;TOT RIO PARDO;JOAO PESSOA;;750;4653;RS;4315701;0;0;;F;1;92012467049691;;;;4759899;4781;;0;4759899;;R;96640000
008;497;;PRM CORONEL BICACO;PRESIDENTE VARGAS;;1344;5866;RS;4305900;0;0;;F;1;92012467049772;;;;4781400;4781;;0;4781400;;AV;98580000
008;498;;GRZ PASSO FUNDO;PRESIDENTE VARGAS;LOJA 02 E 03;1845;10;RS;4314100;0;0;;F;1;92012467049853;;;;4781400;4781;;0;4781400;;AV;99070000
008;499;;TOT PASSO FUNDO;PRESIDENTE VARGAS;LOJA 01;1845;10;RS;4314100;0;0;;F;1;92012467049934;;;;4759899;4781;;0;4759899;;AV;99070000
008;500;;PRM CAXIAS DO SUL;JULIO DE CASTILHOS;;2785;44;RS;4305108;0;0;;F;1;92012467050002;;;;4781400;4781;;0;4781400;;AV;95010005
008;501;;TOT ERECHIM;TIRADENTES;;308;181;RS;4307005;0;0;;F;1;92012467050193;;;;4759899;4781;;0;4759899;;AV;99700424
008;502;;GRZ PASSO FUNDO;BRASIL LESTE;E 969;955;5;RS;4314100;0;0;;F;1;92012467050274;;;;4781400;4781;;0;4781400;;AV;99050073
008;503;;TOT TRES COROAS;MUNDO NOVO;;184;3557;RS;4321709;0;0;;F;1;92012467050355;;;;4781400;4781;;0;4781400;;R;95660000
008;504;;GRZ CERRO LARGO;DR SEBASTIANY;;226;3811;RS;4305207;0;0;;F;1;92012467050436;;;;4781400;4781;;0;4781400;;R;97900000
008;505;;TOT CERRO LARGO;DR JOAO SEBASTIANY;LOJA 02;226;3811;RS;4305207;0;0;;F;1;92012467050517;;;;4781400;4781;;0;4781400;;R;97900000
008;506;;PRM ROSARIO DO SUL;MARECHAL FLORIANO PEIXOTO;;2260;62;RS;4316402;0;0;;F;1;92012467050606;;;;4781400;4781;;0;4781400;;R;97590000
008;507;;PRM PIRATINI;MAURICIO CARDOSO;;322;1240;RS;4314605;0;0;;F;1;92012467050789;;;;4781400;4781;;0;4781400;;AV;96490000
008;508;;GRZ MARAU;JULIO BORELLA;LOJA 103;1461;391;RS;4311809;0;0;;F;1;92012467050860;;;;4781400;4781;;0;4781400;;AV;99150000
008;509;;TOT CARAZINHO;FLORES DA CUNHA;;633;63;RS;4304705;0;0;;F;1;92012467050940;;;;4759899;4781;;0;4759899;;AV;99500000
008;510;;PRM VACARIA;JULIO DE CASTILHOS;;1593;70;RS;4322509;0;0;;F;1;92012467051084;;;;4781400;4781;;0;4781400;;R;95200000
