codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;376429;09/03/2006;1;1;1;;09/03/2006;376429;;101;N;1
8;1;376430;09/03/2006;2;1;1;;09/03/2006;376430;;101;N;1
8;1;376431;09/03/2006;2;1;1;;09/03/2006;376431;;101;N;1
8;1;376432;09/03/2006;2;1;1;;09/03/2006;376432;;101;N;1
8;1;376433;09/03/2006;2;1;1;;09/03/2006;376433;;101;N;1
8;1;376434;09/03/2006;1;1;1;;09/03/2006;376434;;101;N;1
8;1;376435;13/03/2006;2;1;1;;13/03/2006;376435;;101;N;1
8;1;376436;13/03/2006;2;1;1;;13/03/2006;376436;;101;N;1
8;1;376437;09/03/2006;2;1;1;;09/03/2006;376437;;101;N;1
8;1;376438;09/03/2006;2;1;1;;09/03/2006;376438;;101;N;1
8;1;376439;09/03/2006;2;1;1;;09/03/2006;376439;;101;N;1
8;1;376440;09/03/2006;1;1;1;;09/03/2006;376440;;101;N;1
8;1;376441;09/03/2006;2;1;1;;09/03/2006;376441;;101;N;1
8;1;376442;09/03/2006;2;1;1;;09/03/2006;376442;;101;N;1
8;1;376443;09/03/2006;1;1;1;;09/03/2006;376443;;101;N;1
8;1;376444;09/03/2006;2;1;1;;09/03/2006;376444;;101;N;1
8;1;376445;09/03/2006;2;1;1;;09/03/2006;376445;;101;N;1
8;1;376446;13/03/2006;2;1;1;;13/03/2006;376446;;101;N;1
8;1;376447;09/03/2006;2;1;1;;09/03/2006;376447;;101;N;1
8;1;376448;15/03/2006;2;1;1;;15/03/2006;376448;;101;N;1
8;1;376449;16/03/2006;1;1;1;;16/03/2006;376449;;101;N;1
8;1;376450;20/03/2006;2;1;1;;20/03/2006;376450;;101;N;1
8;1;376451;16/03/2006;2;1;1;;16/03/2006;376451;;101;N;1
8;1;376452;20/03/2006;1;1;1;;20/03/2006;376452;;101;N;1
8;1;376453;06/03/2006;2;1;1;;06/03/2006;376453;;101;N;1
8;1;376454;06/03/2006;1;1;1;;06/03/2006;376454;;101;N;1
8;1;376455;23/03/2006;2;1;1;;23/03/2006;376455;;101;N;1
8;1;376456;21/03/2006;1;1;1;;21/03/2006;376456;;101;N;1
8;1;376457;20/03/2006;2;1;1;;20/03/2006;376457;;101;N;1
8;1;376458;06/03/2006;1;1;1;;06/03/2006;376458;;101;N;1
8;1;376459;23/03/2006;2;1;1;;23/03/2006;376459;;101;N;1
8;1;376460;22/03/2006;2;1;1;;22/03/2006;376460;;101;N;1
8;1;376461;06/03/2006;1;1;1;;06/03/2006;376461;;101;N;1
8;1;376462;06/03/2006;1;1;1;;06/03/2006;376462;;101;N;1
8;1;376463;23/03/2006;2;1;1;;23/03/2006;376463;;101;N;1
8;1;376464;01/04/2006;1;1;1;;01/04/2006;376464;;103;N;1
8;1;376465;01/04/2006;2;1;1;;01/04/2006;376465;;101;N;1
8;1;376466;01/04/2006;1;1;1;;01/04/2006;376466;;101;N;1
8;1;376467;01/04/2006;2;1;1;;01/04/2006;376467;;101;N;1
8;1;376468;01/04/2006;2;1;1;;01/04/2006;376468;;101;N;1
8;1;376469;03/04/2006;1;1;1;;03/04/2006;376469;;101;N;1
8;1;376470;03/04/2006;1;1;1;;03/04/2006;376470;;101;N;1
8;1;376471;03/04/2006;1;1;1;;03/04/2006;376471;;101;N;1
8;1;376472;04/04/2006;1;1;1;;04/04/2006;376472;;101;N;1
8;1;376473;04/04/2006;2;1;1;;04/04/2006;376473;;101;N;1
8;1;376474;05/04/2006;1;1;1;;05/04/2006;376474;;101;N;1
8;1;376475;06/04/2006;2;1;1;;06/04/2006;376475;;101;N;1
8;1;376476;07/04/2006;2;1;1;;07/04/2006;376476;;101;N;1
8;1;376477;07/04/2006;1;1;1;;07/04/2006;376477;;101;N;1
8;1;376478;08/04/2006;1;1;1;;08/04/2006;376478;;101;N;1
8;1;376479;10/04/2006;2;1;1;;10/04/2006;376479;;101;N;1
8;1;376480;10/04/2006;2;1;1;;10/04/2006;376480;;101;N;1
8;1;376481;10/04/2006;2;1;1;;10/04/2006;376481;;101;N;1
8;1;376482;10/04/2006;2;1;1;;10/04/2006;376482;;101;N;1
8;1;376483;11/04/2006;2;1;1;;11/04/2006;376483;;101;N;1
8;1;376484;12/04/2006;1;1;1;;12/04/2006;376484;;101;N;1
8;1;376485;12/04/2006;2;1;1;;12/04/2006;376485;;101;N;1
8;1;376486;11/04/2006;1;1;1;;11/04/2006;376486;;101;N;1
8;1;376487;15/04/2006;2;1;1;;15/04/2006;376487;;101;N;1
8;1;376488;03/04/2006;2;1;1;;03/04/2006;376488;;101;N;1
8;1;376489;03/04/2006;1;1;1;;03/04/2006;376489;;101;N;1
8;1;376490;03/04/2006;2;1;1;;03/04/2006;376490;;101;N;1
8;1;376491;17/04/2006;2;1;1;;17/04/2006;376491;;101;N;1
8;1;376492;13/04/2006;1;1;1;;13/04/2006;376492;;101;N;1
8;1;376493;12/04/2006;2;1;1;;12/04/2006;376493;;101;N;1
8;1;376494;12/04/2006;2;1;1;;12/04/2006;376494;;101;N;1
8;1;376495;15/04/2006;1;1;1;;15/04/2006;376495;;101;N;1
8;1;376496;17/04/2006;1;1;1;;17/04/2006;376496;;101;N;1
8;1;376497;24/04/2006;2;1;1;;24/04/2006;376497;;101;N;1
8;1;376498;24/04/2006;1;1;1;;24/04/2006;376498;;101;N;1
8;1;376499;04/04/2006;1;1;1;;04/04/2006;376499;;103;N;1
8;1;376500;24/04/2006;2;1;1;;24/04/2006;376500;;101;N;1
8;1;376501;02/05/2006;2;1;1;;02/05/2006;376501;;101;N;1
8;1;376502;02/05/2006;1;1;1;;02/05/2006;376502;;101;N;1
8;1;376503;02/05/2006;2;1;1;;02/05/2006;376503;;101;N;1
8;1;376504;04/05/2006;2;1;1;;04/05/2006;376504;;101;N;1
8;1;376505;02/05/2006;1;1;1;;02/05/2006;376505;;101;N;1
8;1;376506;02/05/2006;2;1;1;;02/05/2006;376506;;101;N;1
8;1;376507;02/05/2006;2;1;1;;02/05/2006;376507;;101;N;1
8;1;376508;02/05/2006;2;1;1;;02/05/2006;376508;;101;N;1
8;1;376509;03/05/2006;2;1;1;;03/05/2006;376509;;101;N;1
8;1;376510;03/05/2006;2;1;1;;03/05/2006;376510;;101;N;1
8;1;376511;04/05/2006;2;1;1;;04/05/2006;376511;;101;N;1
8;1;376512;09/05/2006;2;1;1;;09/05/2006;376512;;101;N;1
8;1;376513;04/05/2006;1;1;1;;04/05/2006;376513;;101;N;1
8;1;376514;02/05/2006;2;1;1;;02/05/2006;376514;;101;N;1
8;1;376515;04/05/2006;2;1;1;;04/05/2006;376515;;101;N;1
8;1;376516;04/05/2006;2;1;1;;04/05/2006;376516;;101;N;1
8;1;376517;05/05/2006;2;1;1;;05/05/2006;376517;;101;N;1
8;1;376518;05/05/2006;2;1;1;;05/05/2006;376518;;101;N;1
8;1;376519;16/05/2006;2;1;1;;16/05/2006;376519;;101;N;1
8;1;376520;16/05/2006;2;1;1;;16/05/2006;376520;;101;N;1
8;1;376521;05/05/2006;2;1;1;;05/05/2006;376521;;101;N;1
8;1;376522;05/05/2006;1;1;1;;05/05/2006;376522;;101;N;1
8;1;376523;05/05/2006;2;1;1;;05/05/2006;376523;;101;N;1
8;1;376524;09/05/2006;2;1;1;;09/05/2006;376524;;101;N;1
8;1;376525;11/05/2006;2;1;1;;11/05/2006;376525;;101;N;1
8;1;376526;12/05/2006;2;1;1;;12/05/2006;376526;;101;N;1
8;1;376527;11/05/2006;1;1;1;;11/05/2006;376527;;101;N;1
8;1;376528;12/05/2006;2;1;1;;12/05/2006;376528;;101;N;1
8;1;376529;15/05/2006;2;1;1;;15/05/2006;376529;;101;N;1
8;1;376530;15/05/2006;2;1;1;;15/05/2006;376530;;101;N;1
8;1;376531;02/05/2006;2;1;1;;02/05/2006;376531;;101;N;1
8;1;376532;02/05/2006;2;1;1;;02/05/2006;376532;;101;N;1
8;1;376533;04/05/2006;2;1;1;;04/05/2006;376533;;101;N;1
8;1;376534;05/05/2006;2;1;1;;05/05/2006;376534;;101;N;1
8;1;376535;12/05/2006;2;1;1;;12/05/2006;376535;;101;N;1
4;1;376536;25/05/2006;2;1;1;;25/05/2006;376536;;101;N;1
8;1;376537;15/05/2006;2;1;1;;15/05/2006;376537;;101;N;1
8;1;376538;24/05/2006;1;1;1;;24/05/2006;376538;;101;N;1
8;1;376539;24/05/2006;5;1;1;;24/05/2006;376539;;101;N;1
8;1;376540;01/05/2006;2;1;1;;01/05/2006;376540;;101;N;1
8;1;376541;25/05/2006;2;1;1;;25/05/2006;376541;;101;N;1
8;1;376542;04/05/2006;2;1;1;;04/05/2006;376542;;101;N;1
276;1;376543;02/05/2006;2;1;1;;02/05/2006;376543;;101;N;1
276;1;376544;02/05/2006;2;1;1;;02/05/2006;376544;;101;N;1
276;1;376545;02/05/2006;2;1;1;;02/05/2006;376545;;101;N;1
8;1;376546;01/06/2006;1;1;1;;01/06/2006;376546;;103;N;1
8;1;376547;01/06/2006;2;1;1;;01/06/2006;376547;;101;N;1
8;1;376548;05/06/2006;1;1;1;;05/06/2006;376548;;101;N;1
8;1;376549;01/06/2006;2;1;1;;01/06/2006;376549;;101;N;1
8;1;376550;01/06/2006;1;1;1;;01/06/2006;376550;;101;N;1
8;1;376551;01/06/2006;2;1;1;;01/06/2006;376551;;101;N;1
8;1;376552;01/06/2006;2;1;1;;01/06/2006;376552;;101;N;1
8;1;376553;01/06/2006;2;1;1;;01/06/2006;376553;;101;N;1
8;1;376554;01/06/2006;2;1;1;;01/06/2006;376554;;101;N;1
8;1;376555;01/06/2006;2;1;1;;01/06/2006;376555;;101;N;1
8;1;376556;01/06/2006;1;1;1;;01/06/2006;376556;;101;N;1
8;1;376557;01/06/2006;2;1;1;;01/06/2006;376557;;101;N;1
8;1;376558;01/06/2006;2;1;1;;01/06/2006;376558;;101;N;1
8;1;376559;01/06/2006;2;1;1;;01/06/2006;376559;;101;N;1
8;1;376560;01/06/2006;1;1;1;92012467000170;01/06/2006;376560;;101;N;1
282;1;376560;01/06/2006;2;1;1;92012467000170;27/07/2020;376560;;101;N;1
8;1;376561;01/06/2006;2;1;1;;01/06/2006;376561;;101;N;1
8;1;376562;01/06/2006;1;1;1;;01/06/2006;376562;;101;N;1
8;1;376563;01/06/2006;2;1;1;;01/06/2006;376563;;101;N;1
8;1;376564;01/06/2006;2;1;1;;01/06/2006;376564;;101;N;1
8;1;376565;01/06/2006;2;1;1;;01/06/2006;376565;;101;N;1
8;1;376566;01/06/2006;1;1;1;;01/06/2006;376566;;101;N;1
8;1;376567;01/06/2006;1;1;1;;01/06/2006;376567;;101;N;1
8;1;376568;01/06/2006;1;1;1;;01/06/2006;376568;;101;N;1
8;1;376569;01/06/2006;1;1;1;;01/06/2006;376569;;101;N;1
8;1;376570;01/06/2006;1;1;1;;01/06/2006;376570;;101;N;1
8;1;376571;01/06/2006;2;1;1;;01/06/2006;376571;;101;N;1
8;1;376572;01/06/2006;2;1;1;;01/06/2006;376572;;101;N;1
8;1;376573;01/06/2006;1;1;1;;01/06/2006;376573;;101;N;1
8;1;376574;01/06/2006;2;1;1;;01/06/2006;376574;;101;N;1
8;1;376575;01/06/2006;2;1;1;;01/06/2006;376575;;101;N;1
8;1;376576;01/06/2006;2;1;1;;01/06/2006;376576;;101;N;1
8;1;376577;01/06/2006;1;1;1;;01/06/2006;376577;;101;N;1
8;1;376578;02/06/2006;2;1;1;;02/06/2006;376578;;101;N;1
8;1;376579;05/06/2006;2;1;1;;05/06/2006;376579;;101;N;1
8;1;376580;06/06/2006;2;1;1;;06/06/2006;376580;;101;N;1
8;1;376581;07/06/2006;2;1;1;;07/06/2006;376581;;101;N;1
8;1;376582;08/06/2006;1;1;1;;08/06/2006;376582;;101;N;1
8;1;376583;08/06/2006;1;1;1;;08/06/2006;376583;;101;N;1
8;1;376584;09/06/2006;2;1;1;;09/06/2006;376584;;101;N;1
8;1;376585;12/06/2006;2;1;1;;12/06/2006;376585;;101;N;1
8;1;376586;09/06/2006;2;1;1;;09/06/2006;376586;;101;N;1
8;1;376587;09/06/2006;1;1;1;;09/06/2006;376587;;101;N;1
8;1;376588;10/06/2006;2;1;1;;10/06/2006;376588;;101;N;1
8;1;376589;08/06/2006;2;1;1;;08/06/2006;376589;;101;N;1
8;1;376590;01/06/2006;1;1;1;;01/06/2006;376590;;101;N;1
8;1;376591;01/06/2006;2;1;1;;01/06/2006;376591;;101;N;1
8;1;376592;01/06/2006;1;1;1;;01/06/2006;376592;;101;N;1
8;1;376593;05/06/2006;2;1;1;;05/06/2006;376593;;101;N;1
8;1;376594;05/06/2006;2;1;1;;05/06/2006;376594;;101;N;1
8;1;376595;05/06/2006;1;1;1;;05/06/2006;376595;;101;N;1
8;1;376596;06/06/2006;2;1;1;;06/06/2006;376596;;101;N;1
8;1;376597;06/06/2006;2;1;1;;06/06/2006;376597;;101;N;1
8;1;376598;08/06/2006;1;1;1;;08/06/2006;376598;;101;N;1
8;1;376599;12/06/2006;1;1;1;;12/06/2006;376599;;101;N;1
8;1;376600;07/06/2006;1;1;1;;07/06/2006;376600;;101;N;1
8;1;376601;07/06/2006;2;1;1;;07/06/2006;376601;;101;N;1
8;1;376602;09/06/2006;1;1;1;;09/06/2006;376602;;101;N;1
8;1;376603;09/06/2006;1;1;1;;09/06/2006;376603;;101;N;1
8;1;376604;09/06/2006;2;1;1;;09/06/2006;376604;;101;N;1
8;1;376605;17/06/2006;2;1;1;;17/06/2006;376605;;101;N;1
8;1;376606;01/06/2006;2;1;1;;01/06/2006;376606;;101;N;1
8;1;376607;05/06/2006;2;1;1;;05/06/2006;376607;;101;N;1
8;1;376608;07/06/2006;2;1;1;;07/06/2006;376608;;101;N;1
8;1;376609;19/06/2006;2;1;1;;19/06/2006;376609;;101;N;1
8;1;376610;19/06/2006;2;1;1;;19/06/2006;376610;;101;N;1
8;1;376611;19/06/2006;2;1;1;;19/06/2006;376611;;101;N;1
8;1;376612;01/06/2006;2;1;1;;01/06/2006;376612;;101;N;1
8;1;376613;10/06/2006;2;1;1;;10/06/2006;376613;;101;N;1
8;1;376615;19/06/2006;2;1;1;;19/06/2006;376615;;101;N;1
8;1;376616;07/06/2006;2;1;1;;07/06/2006;376616;;101;N;1
8;1;376617;19/06/2006;1;1;1;;19/06/2006;376617;;101;N;1
