codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;estrutura_cargo;codigo_cargo;motivo_alteracao
6;1;384172;01/07/2015;1;286;2
6;1;384172;01/08/2016;1;287;2
6;1;384172;01/10/2018;1;171;2
282;1;385066;05/01/2015;1;122;1
282;1;385066;02/11/2015;1;206;4
8;1;385154;05/02/2015;1;60;1
8;1;385172;06/02/2015;1;181;1
4;1;385761;10/12/2015;1;175;1
4;1;385761;01/10/2016;1;60;2
4;1;385761;01/12/2016;1;61;2
4;1;385761;01/05/2018;1;52;2
4;1;385761;20/08/2019;1;297;2
4;1;385761;01/12/2022;1;296;2
4;1;385761;02/10/2023;1;392;17
8;1;385788;01/07/2025;1;392;4
282;1;385883;11/02/2016;1;175;1
282;1;385883;01/10/2016;1;60;2
282;1;385883;01/02/2017;1;61;2
282;1;385883;09/10/2020;1;58;2
282;1;385960;21/03/2016;1;178;1
282;1;385960;01/04/2017;1;58;2
282;1;385960;01/04/2018;1;154;2
4;1;386218;01/08/2016;1;15;1
1629;1;386417;14/11/2016;1;293;1
4;1;387837;04/06/2018;1;60;1
4;1;387837;01/06/2019;1;61;12
4;1;387942;09/07/2018;1;60;1
4;1;387942;01/07/2019;1;61;2
4;1;388489;22/01/2019;1;60;1
8;1;388557;06/03/2019;1;60;1
8;1;388562;06/03/2019;1;60;1
282;1;389215;05/10/2019;1;206;1
8;1;389714;09/06/2020;1;175;1
276;1;390016;05/10/2020;1;305;1
282;1;390051;19/10/2020;1;305;1
282;1;390051;23/05/2023;1;122;17
4;1;390205;20/11/2020;1;206;1
282;1;390597;27/04/2021;1;206;1
4;1;390828;21/06/2021;1;282;1
4;1;390828;08/03/2023;1;342;4
4;1;390828;01/11/2023;1;397;2
282;1;391459;04/11/2021;1;204;1
282;1;391459;01/07/2022;1;305;2
4;1;391785;06/01/2022;1;178;1
4;1;391785;04/07/2022;1;300;2
4;1;391785;01/08/2022;1;317;2
282;1;391797;08/01/2022;1;204;1
8;1;391954;14/02/2022;1;175;1
8;1;391954;07/07/2022;1;60;1
8;1;391954;17/02/2023;1;61;12
282;1;392212;27/04/2022;1;305;1
8;1;392628;19/07/2022;1;181;1
8;1;392922;10/10/2022;1;60;1
4;1;393398;26/01/2023;1;351;1
4;1;393398;01/06/2023;1;14;2
282;1;393642;03/04/2023;1;357;1
282;1;393642;01/01/2024;1;400;2
4;1;397037;02/06/2025;1;154;1
