codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_nova_empresa;codigo_novo_cadastro;codigo_nova_filial;tipo_admissao;numero_ficha_registro;tipo_admissao_colaborador
8;1;80154;10/12/2001;8;80154;063;2;0;1
8;1;80155;18/12/2001;8;80155;099;2;0;1
8;1;80156;01/12/2001;8;80156;253;2;0;1
8;1;80157;02/01/2002;8;80157;231;2;0;1
8;1;80158;10/01/2002;8;80158;058;2;0;1
8;1;80159;21/01/2002;8;80159;039;2;0;1
8;1;80160;03/12/2001;8;80160;063;2;0;1
8;1;80161;11/01/2002;8;80161;136;2;0;1
8;1;80162;20/03/2002;8;80162;169;2;0;1
8;1;80163;20/03/2002;8;80163;294;2;0;1
8;1;80164;05/04/2002;8;80164;174;2;0;1
8;1;80165;03/04/2002;8;80165;013;2;0;1
8;1;80166;03/04/2002;8;80166;013;2;0;1
8;1;80167;04/04/2002;8;80167;052;2;0;1
8;1;80176;04/04/2002;8;80176;052;2;0;1
8;1;80177;18/04/2002;8;80177;217;2;0;1
8;1;80178;02/05/2002;8;80178;175;2;0;1
8;1;80179;02/05/2002;8;80179;032;2;0;1
8;1;80180;02/05/2002;8;80180;093;2;0;1
8;1;80181;02/05/2002;8;80181;093;2;0;1
8;1;80182;10/05/2002;8;80182;174;2;0;1
8;1;80183;10/05/2002;8;80183;253;2;0;1
8;1;80184;07/05/2002;8;80184;217;2;0;1
8;1;80185;09/05/2002;8;80185;294;2;0;1
8;1;80187;15/05/2002;8;80187;239;2;0;1
8;1;80189;20/05/2002;8;80189;175;2;0;1
8;1;80190;20/05/2002;8;80190;013;2;0;1
8;1;80191;01/06/2002;8;80191;050;2;0;1
8;1;80192;01/06/2002;8;80192;177;2;0;1
8;1;80193;04/06/2002;8;80193;175;2;0;1
8;1;80194;01/06/2002;8;80194;290;2;0;1
8;1;80195;12/06/2002;8;80195;013;2;0;1
8;1;80196;12/06/2002;8;80196;044;2;0;1
8;1;80197;19/06/2002;8;80197;145;2;0;1
8;1;80198;20/06/2002;8;80198;028;2;0;1
8;1;80199;19/06/2002;8;80199;093;2;0;1
8;1;80200;08/07/2002;8;80200;175;2;0;1
8;1;80201;15/07/2002;8;80201;142;2;0;1
8;1;80202;10/07/2002;8;80202;059;2;0;1
8;1;80203;20/08/2002;8;80203;242;2;0;1
8;1;80204;12/08/2002;8;80204;032;2;0;1
8;1;80205;12/08/2002;8;80205;050;2;0;1
8;1;80206;13/08/2002;8;80206;261;2;0;1
8;1;80207;20/08/2002;8;80207;014;2;0;1
8;1;80208;03/09/2002;8;80208;175;2;0;1
8;1;80209;02/09/2002;8;80209;256;2;0;1
8;1;80210;02/09/2002;8;80210;163;2;0;1
8;1;80211;16/09/2002;8;80211;087;2;0;1
8;1;80212;04/10/2002;8;80212;121;2;0;1
8;1;80213;11/10/2002;8;80213;025;2;0;1
8;1;80214;11/10/2002;8;80214;025;2;0;1
8;1;80215;11/10/2002;8;80215;025;2;0;1
8;1;80216;11/10/2002;8;80216;138;2;0;1
8;1;80217;16/10/2002;8;80217;083;2;0;1
8;1;80218;01/11/2002;8;80218;140;2;0;1
8;1;80219;01/11/2002;8;80219;272;2;0;1
8;1;80220;01/11/2002;8;80220;150;2;0;1
8;1;80221;20/11/2002;8;80221;058;2;0;1
8;1;80222;02/12/2002;8;80222;263;2;0;1
8;1;80223;02/12/2002;8;80223;013;2;0;1
8;1;80224;02/12/2002;8;80224;001;2;0;1
8;1;80225;09/12/2002;8;80225;244;2;0;1
8;1;80226;11/12/2002;8;80226;113;2;0;1
8;1;80227;13/12/2002;8;80227;089;2;0;1
8;1;80228;13/12/2002;8;80228;142;2;0;1
8;1;80229;21/01/2003;8;80229;175;2;0;1
8;1;80230;03/02/2003;8;80230;001;2;0;1
8;1;80232;18/02/2003;8;80232;163;2;0;1
8;1;80233;20/02/2003;8;80233;175;2;0;1
8;1;80234;01/03/2003;8;80234;121;2;0;1
8;1;80235;17/03/2003;8;80235;254;2;0;1
8;1;80236;04/04/2003;8;80236;239;2;0;1
8;1;80237;07/04/2003;8;80237;175;2;0;1
8;1;80238;08/04/2003;8;80238;023;2;0;1
8;1;80239;19/05/2003;8;80239;095;2;0;1
8;1;80240;09/06/2003;8;80240;001;2;0;1
8;1;80241;17/06/2003;8;80241;155;2;0;1
8;1;80242;16/06/2003;8;80242;243;2;0;1
8;1;80243;14/07/2003;8;80243;242;2;0;1
8;1;80244;01/08/2003;8;80244;239;2;0;1
8;1;80245;01/08/2003;8;80245;093;2;80245;1
8;1;80247;05/08/2003;8;80247;242;2;0;1
8;1;80249;06/08/2003;8;80249;034;2;0;1
8;1;80250;14/08/2003;8;80250;263;2;0;1
8;1;80251;25/08/2003;8;80251;124;2;0;1
8;1;80252;01/09/2003;8;80252;244;2;0;1
8;1;80253;01/09/2003;8;80253;093;2;0;1
8;1;80254;01/09/2003;8;80254;143;2;80;1
8;1;80255;01/09/2003;8;80255;145;2;0;1
8;1;80256;08/09/2003;8;80256;046;2;0;1
8;1;80257;15/09/2003;8;80257;095;2;0;1
8;1;80258;01/10/2003;8;80258;199;2;0;1
8;1;80259;01/10/2003;8;80259;183;2;0;1
8;1;80260;01/11/2003;8;80260;001;2;0;1
8;1;80260;07/10/2003;8;80260;001;2;0;1
8;1;80261;21/10/2003;8;80261;243;2;0;1
8;1;80262;21/10/2003;8;80262;239;2;0;1
8;1;80263;01/11/2003;8;80263;289;2;0;1
8;1;80264;01/11/2003;8;80264;087;2;0;1
8;1;80265;10/11/2003;8;80265;121;2;0;1
8;1;80266;01/11/2003;8;80266;015;2;0;1
8;1;80268;17/11/2003;8;80268;001;2;0;1
8;1;80269;18/11/2003;8;80269;099;2;0;1
8;1;80270;01/12/2003;8;80270;011;2;0;1
8;1;80271;10/12/2003;8;80271;020;2;0;1
8;1;80272;09/12/2003;8;80272;053;2;0;1
8;1;80273;09/12/2003;8;80273;124;2;0;1
8;1;80274;01/12/2003;8;80274;129;2;0;1
8;1;80275;01/12/2003;8;80275;143;2;0;1
8;1;80276;09/12/2003;8;80276;186;2;0;1
8;1;80277;01/12/2003;8;80277;264;2;0;1
8;1;80278;01/12/2003;8;80278;263;2;0;1
8;1;80279;10/12/2003;8;80279;016;2;0;1
8;1;80280;02/01/2004;8;80280;264;2;0;1
8;1;80281;02/02/2004;8;80281;177;2;0;1
8;1;80282;19/02/2004;8;80282;095;2;0;1
8;1;80283;03/03/2004;8;80283;020;2;0;1
8;1;80284;08/03/2004;8;80284;025;2;0;1
8;1;80285;10/03/2004;8;80285;072;2;0;1
8;1;80286;17/03/2004;8;80286;041;2;0;1
8;1;80287;22/03/2004;8;80287;075;2;0;1
8;1;80288;01/04/2004;8;80288;034;2;0;1
8;1;80289;05/04/2004;8;80289;011;2;0;1
8;1;80290;03/05/2004;8;80290;087;2;0;1
8;1;80291;03/05/2004;8;80291;183;2;0;1
8;1;80292;17/05/2004;8;80292;061;2;0;1
8;1;80293;17/05/2004;8;80293;061;2;0;1
8;1;80294;01/06/2004;8;80294;261;2;0;1
8;1;80295;08/06/2004;8;80295;025;2;0;1
8;1;80296;18/08/2004;8;80296;032;2;0;1
8;1;80297;23/08/2004;8;80297;151;2;0;1
8;1;80298;01/09/2004;8;80298;046;2;0;1
8;1;80299;15/09/2004;8;80299;306;2;0;1
8;1;80300;21/09/2004;8;80300;093;2;0;1
8;1;80301;22/09/2004;8;80301;093;2;0;1
8;1;80302;01/10/2004;8;80302;011;2;0;1
8;1;80303;01/10/2004;8;80303;183;2;0;1
8;1;80304;06/10/2004;8;80304;025;2;0;1
8;1;80305;13/10/2004;8;80305;025;2;0;1
8;1;80306;20/10/2004;8;80306;046;2;0;1
8;1;80307;01/11/2004;8;80307;100;2;0;1
