codigo_empresa;codigo_centro_custo;nome_centro_custo;data_criacao;data_extincao;texto_centro_custo
8;271;FILIAL  271 - CANOAS;01/01/1980;;271
8;272;FILIAL  272 - GUARAPUAVA;01/01/1980;;272
8;273;FILIAL  273 - GUAIBA;01/01/1980;;273
8;274;FILIAL  274 - URUGUAIANA;01/01/1980;;274
8;275;FILIAL  275 - SAO LOURENCO DO SUL;01/01/1980;;275
8;276;FILIAL  276 - SAO MIGUEL DO OESTE;01/01/1980;;276
8;277;FILIAL  277 - GUARAPUAVA;01/01/1980;;277
8;278;FILIAL  278 - URUGUAIANA;01/01/1980;;278
8;279;FILIAL  279 - JOINVILLE;01/01/1980;;279
8;280;FILIAL  280 - CRUZ ALTA;01/01/1980;;280
8;281;FILIAL  281 - CARAZINHO;01/01/1980;;281
8;282;FILIAL  282 - SAO GABRIEL;01/01/1980;;282
8;283;FILIAL  283 - CRUZ ALTA;01/01/1980;;283
8;284;FILIAL  284 - MARAU;01/01/1980;;284
8;285;FILIAL  285 - SANTA CRUZ DO SUL;01/01/1980;;285
8;286;FILIAL  286 - SANTA CRUZ DO SUL;01/01/1980;;286
8;287;FILIAL  287 - SANTA MARIA;01/01/1980;;287
8;288;FILIAL  288 - MAFRA;01/01/1980;;288
8;289;FILIAL  289 - JAGUARAO;01/01/1980;;289
8;290;FILIAL  290 - RIO GRANDE;01/01/1980;;290
8;291;FILIAL  291 - CACHOEIRA DO SUL;01/01/1980;;291
8;292;FILIAL  292 - SANTA ROSA;01/01/1980;;292
8;293;FILIAL  293 - TOLEDO;01/01/1980;;293
8;294;FILIAL  294 - TUBARAO;01/01/1980;;294
8;295;FILIAL  295 - LAJEADO;01/01/1980;;295
8;296;FILIAL  296 - SAO LEOPOLDO;01/01/1980;;296
8;297;FILIAL  297 - VACARIA;01/01/1980;;297
8;298;FILIAL  298 - SANTA MARIA;01/01/1980;;298
8;299;FILIAL  299 - CACAPAVA DO SUL;01/01/1980;;299
8;300;FILIAL  300 - ITAJAI;01/01/1980;;300
8;301;FILIAL  301 - BENTO GONCALVES;01/01/1980;;301
8;302;FILIAL  302 - CACHOEIRA DO SUL;01/01/1980;;302
8;303;FILIAL  303 - CACHOEIRINHA;01/01/1980;;303
8;304;FILIAL  304 - FRANCISCO BELTRAO;01/01/1980;;304
8;305;FILIAL  305 - IJUI;01/01/1980;;305
8;306;FILIAL  306 - TAPEJARA;01/01/1980;;306
8;307;FILIAL  307 - PASSO FUNDO;01/01/1980;;307
8;308;FILIAL  308 - BARRACAO;01/01/1980;;308
8;309;FILIAL  309 - IJUI;01/01/1980;;309
8;310;FILIAL  310 - SANTO ANGELO;01/01/1980;;310
8;311;FILIAL  311 - FLORES DA CUNHA;01/01/1980;;311
8;312;FILIAL  312 - HORIZONTINA;01/01/1980;;312
8;313;FILIAL  313 - SAO SEPE;01/01/1980;;313
8;314;FILIAL  314 - TRES DE MAIO;01/01/1980;;314
8;315;FILIAL  315 - SAO PEDRO DO SUL;01/01/1980;;315
8;316;FILIAL  316 - TAQUARI;01/01/1980;;316
8;317;FILIAL  317 - CACHOEIRA DO SUL;01/01/1980;;317
8;318;FILIAL  318 - ESTEIO;01/01/1980;;318
8;319;FILIAL  319 - CERRO LARGO;01/01/1980;;319
8;320;FILIAL  320 - VACARIA;01/01/1980;;320
8;321;FILIAL  321 - CRUZ ALTA;01/01/1980;;321
8;322;FILIAL  322 - XAXIM;01/01/1980;;322
8;323;FILIAL  323 - SERAFINA CORREA;16/08/2005;;323
8;324;FILIAL  324 - SAO MARCOS;22/09/2005;;324
8;325;FILIAL  325 - HORIZONTINA;29/09/2005;;325
8;326;FILIAL  326 - CACEQUI;13/09/2005;;326
8;327;FILIAL  327 - BUTIA;01/02/2006;;327
8;328;FILIAL  328 - CAMAQUA;01/03/2006;;328
8;329;FILIAL  329 - CRISSIUMAL;01/02/2006;;329
8;330;FILIAL  330 - SANTO CRISTO;01/02/2006;;330
8;331;FILIAL  331 - SANTANA DO LIVRAMENTO;02/03/2006;;331
8;332;FILIAL  332 - SANTA VITORIA DO PALMAR;21/03/2006;;332
8;333;FILIAL  333 - VERANOPOLIS;01/05/2006;;333
8;334;FILIAL  334 - ESPUMOSO;01/06/2006;;334
8;335;FILIAL  335 - ANTONIO PRADO;01/05/2006;;335
8;336;FILIAL  336 - SAO SEBASTIAO DO CAI;01/10/2006;;336
8;337;FILIAL  337 - CANDELARIA;01/06/2006;;337
8;338;FILIAL  338 - AGUDO;01/07/2006;;338
8;339;FILIAL  339 - ROLANTE;01/06/2006;;339
8;340;FILIAL  340 - JAGUARI;01/07/2006;;340
8;341;FILIAL  341 - NAO ME TOQUE;01/07/2006;;341
8;342;FILIAL  342 - ARROIO DO TIGRE;01/07/2006;;342
8;343;FILIAL  343 - SAO FRANCISCO DE PAULA;01/07/2006;;343
8;344;FILIAL  344 - CHARQUEADAS;01/07/2006;;344
8;345;FILIAL  345 - PORTO ALEGRE;01/08/2006;;345
8;346;FILIAL  346 - CANOAS;01/08/2006;;346
8;347;FILIAL  347 - BENTO GONCALVES;01/08/2006;;347
8;348;FILIAL  348 - BARRACAO;01/08/2006;;348
8;349;FILIAL  349 - MONTENEGRO;01/08/2006;;349
8;350;FILIAL  350 - PORTO ALEGRE;01/08/2006;;350
8;351;FILIAL  351 - PALMEIRA;01/09/2006;;351
8;352;FILIAL  352 - MONTENEGRO;01/09/2006;;352
8;353;FILIAL  353 - PRUDENTOPOLIS;01/10/2006;;353
8;354;FILIAL  354 - SARANDI;01/10/2006;;354
8;355;FILIAL  355 - IBIRUBA;01/10/2006;;355
8;356;FILIAL  356 - SANANDUVA;01/10/2006;;356
8;357;FILIAL  357 - NOVA PRATA;01/11/2006;;357
8;358;FILIAL  358 - SANTA ROSA;01/11/2006;;358
8;359;FILIAL  359 - VIDEIRA;01/11/2006;;359
8;360;FILIAL  360 - PORTO XAVIER;01/03/2007;;360
8;361;FILIAL  361 - SANTA BARBARA DO SUL;01/04/2007;;361
8;362;FILIAL  362 - TENENTE PORTELA;01/04/2007;;362
8;363;FILIAL  363 - VERA CRUZ;01/08/2007;;363
8;364;FILIAL  364 - CAMPOS NOVOS;01/05/2007;;364
8;365;FILIAL  365 - TAPES;01/08/2007;;365
8;366;FILIAL  366 - QUARAI;01/06/2007;;366
8;367;FILIAL  367 - NOVA HARTZ;01/06/2007;;367
8;368;FILIAL  368 - IRATI;01/07/2007;;368
8;369;FILIAL  369 - IMBITUVA;01/07/2007;;369
8;370;FILIAL  370 - SANTO ANTONIO DA PATRULHA;01/06/2007;;370
8;371;FILIAL  371 - SANTA VITORIA DO PALMAR;01/07/2007;;371
8;372;FILIAL  372 - CAPANEMA;01/07/2007;;372
8;373;FILIAL  373 - NONOAI;01/07/2007;;373
8;374;FILIAL  374 - LAGES;01/08/2007;;374
8;375;FILIAL  375 - OSORIO;01/08/2007;;375
8;376;FILIAL  376 - PIRAI DO SUL;01/08/2007;;376
8;377;FILIAL  377 - GETULIO VARGAS;01/08/2007;;377
8;378;FILIAL  378 - SAO LOURENCO D OESTE;01/08/2007;;378
8;379;FILIAL  379 - CORONEL VIVIDA;01/10/2007;;379
8;380;FILIAL  380 - AMPERE;01/09/2007;;380
8;381;FILIAL  381 - LARANJEIRAS DO SUL;01/10/2007;;381
8;382;FILIAL  382 - SAO LOURENCO DO SUL;01/10/2007;;382
8;383;FILIAL  383 - MARAVILHA;01/10/2007;;383
8;384;FILIAL  384 - ARROIO DO MEIO;01/10/2007;;384
8;385;FILIAL  385 - VENANCIO AIRES;01/10/2007;;385
8;386;FILIAL  386 - IGREJINHA;01/10/2007;;386
8;387;FILIAL  387 - PALMAS;01/11/2007;;387
8;388;FILIAL  388 - NOVA PRATA;01/11/2007;;388
8;389;FILIAL  389 - CARAZINHO;01/12/2007;;389
8;390;FILIAL  390 - VIAMAO;01/12/2007;;390
8;391;FILIAL  391 - RIO PARDO;01/12/2007;;391
8;392;FILIAL  392 - ARROIO GRANDE;01/12/2007;;392
8;393;FILIAL  393 - REALEZA;01/01/2008;;393
8;394;FILIAL  394 - CARAZINHO;01/02/2008;;394
8;395;FILIAL  395 - CHAPECO;01/02/2008;;395
8;396;FILIAL  396 - CONCORDIA;01/03/2008;;396
8;397;FILIAL  397 - TEUTONIA;01/05/2008;;397
8;398;FILIAL  398 - PINHAO;01/03/2008;;398
8;399;FILIAL  399 - SANTIAGO;01/04/2008;;399
8;400;FILIAL  400 - SANTA MARIA;01/05/2008;;400
8;401;FILIAL  401 - JULIO DE CASTILHOS;01/05/2008;;401
8;402;FILIAL  402 - SANTA MARIA;01/05/2008;;402
8;403;FILIAL  403 - GUARAPUAVA;01/07/2008;;403
8;404;FILIAL  404 - FREDERICO WESTPHALEN;01/07/2008;;404
8;405;FILIAL  405 - ITAQUI;01/07/2008;;405
8;406;FILIAL  406 - SAO FRANCISCO DE ASSIS;01/07/2008;;406
8;407;FILIAL  407 - RESTINGA SECA;01/08/2008;;407
8;408;FILIAL  408 - CLEVELANDIA;01/09/2008;;408
8;409;FILIAL  409 - PANAMBI;01/10/2008;;409
8;410;FILIAL  410 - SAO SEPE;01/10/2008;;410
8;411;FILIAL  411 - ALEGRETE;01/10/2008;;411
8;412;FILIAL  412 - SAO LEOPOLDO;01/10/2008;;412
8;413;FILIAL  413 - SAO LEOPOLDO;01/10/2008;;413
8;414;FILIAL  414 - GIRUA;01/02/2009;;414
8;415;FILIAL  415 - CACAPAVA DO SUL;01/11/2008;;415
8;416;FILIAL  416 - FRAIBURGO;01/12/2008;;416
8;417;FILIAL  417 - PASSO FUNDO;01/08/2009;;417
8;418;FILIAL  418 - SAO MATEUS DO SUL;01/08/2009;;418
8;419;FILIAL  419 - SEBERI;01/03/2009;;419
8;420;FILIAL  420 - PELOTAS;01/04/2009;;420
8;421;FILIAL  421 - SANTA MARIA;01/05/2009;;421
8;422;FILIAL  422 - XANXERE;01/06/2009;;422
8;423;FILIAL  423 - CONSTANTINA;01/06/2009;;423
8;424;FILIAL  424 - CANOAS;01/07/2009;;424
8;425;FILIAL  425 - CANOINHAS;01/09/2009;;425
8;427;FILIAL  427 - CORREIA PINTO;01/10/2009;;427
8;428;FILIAL  428 - SANTANA DO LIVRAMENTO;01/10/2009;;428
8;429;FILIAL  429 - PELOTAS;01/10/2009;;429
8;430;FILIAL  430 - SANTANA DO LIVRAMENTO;01/10/2009;;430
8;431;FILIAL  431 - SAO LUIZ GONZAGA;01/11/2009;;431
8;432;FILIAL  432 - PASSO FUNDO;01/02/2010;;432
8;433;FILIAL  433 - SANTO ANTONIO DAS MISSOES;01/11/2009;;433
