codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;dias_aviso_indenizado;dias_aviso_reavido;dias_saldo_salarios;dias_fim_contrato_antecipado;salario_final_aviso;saldo_anterior_fgts;homologacao_dissidio_coletivo;motivo_complementar;salario_base;integrar_rescisao;aviso_previo;dias_aviso_indenizado_acrescimo;dias_aviso_reavido_acrescimo;termo_quitacao_trct
8;1;158836;31/10/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;158836;28/09/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;160750;13/03/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;161004;19/04/2017;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;167355;24/03/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;167908;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;168301;14/04/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;171255;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;172057;24/03/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;172685;11/06/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;173070;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;173363;28/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;173363;14/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;173410;02/02/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;174173;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;175706;02/09/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;175901;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;175935;14/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;175935;28/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;176061;19/04/2017;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;176061;11/05/2017;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;176699;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;177202;17/08/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;177997;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;178594;28/09/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;178713;31/03/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;179370;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;179957;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;180424;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;182630;30/06/2020;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;182630;02/07/2021;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;182630;28/09/2020;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;182974;04/05/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;183059;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;184331;11/07/2022;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;184535;16/06/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;188166;24/03/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;189600;20/05/2022;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;190047;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;190942;08/05/2018;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;191540;31/05/2018;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;191949;17/08/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;192139;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;194433;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
