codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
4;1;145459;23/11/2006;1;2005;0,00;798,12
4;1;145459;23/11/2006;1;2014;0,00;1544,21
4;1;145459;23/11/2006;1;2500;8,50;1268,11
4;1;145459;23/11/2006;1;2505;0,00;5290,73
4;1;145459;23/11/2006;1;9030;8,50;449,71
8;1;149144;08/06/2010;1;200;1,00;51,36
8;1;149144;08/06/2010;1;220;0,00;14,30
8;1;149144;08/06/2010;1;222;7,00;9,19
8;1;149144;08/06/2010;1;650;12,00;2245,72
8;1;149144;08/06/2010;1;651;8,00;1497,15
8;1;149144;08/06/2010;1;659;0,00;1247,62
8;1;149144;08/06/2010;1;850;5,00;935,72
8;1;149144;08/06/2010;1;900;1,00;187,14
8;1;149144;08/06/2010;1;950;30,00;2245,72
8;1;149144;08/06/2010;1;2000;8,00;5,98
8;1;149144;08/06/2010;1;2003;8,00;74,85
8;1;149144;08/06/2010;1;2055;1,50;29,55
8;1;149144;08/06/2010;1;2505;0,00;1122,86
8;1;151874;02/08/2011;1;200;2,00;53,09
8;1;151874;02/08/2011;1;222;4,00;4,25
8;1;151874;02/08/2011;1;257;16,10;87,89
8;1;151874;02/08/2011;1;265;0,00;17,58
8;1;151874;02/08/2011;1;650;12,00;930,27
8;1;151874;02/08/2011;1;651;7,00;597,42
8;1;151874;02/08/2011;1;659;0,00;509,23
8;1;151874;02/08/2011;1;850;7,00;540,48
8;1;151874;02/08/2011;1;900;1,00;77,21
8;1;151874;02/08/2011;1;950;30,00;971,66
8;1;151874;02/08/2011;1;2000;8,00;13,02
8;1;151874;02/08/2011;1;2003;8,00;43,23
8;1;151874;02/08/2011;1;2056;5,00;39,82
8;1;151874;02/08/2011;1;2505;0,00;617,69
8;1;152790;14/05/2019;1;1955;0,00;684,63
8;1;152790;30/05/2018;1;4;22,00;205,39
8;1;152790;30/05/2018;1;200;24,00;1643,13
8;1;152790;30/05/2018;1;222;8,00;394,35
8;1;152790;30/05/2018;1;650;12,00;2068,98
8;1;152790;30/05/2018;1;651;3,00;527,31
8;1;152790;30/05/2018;1;659;0,00;865,43
8;1;152790;30/05/2018;1;850;5,00;855,80
8;1;152790;30/05/2018;1;900;3,00;513,48
8;1;152790;30/05/2018;1;950;90,00;6175,56
8;1;152790;30/05/2018;1;2000;8,00;74,50
8;1;152790;30/05/2018;1;2003;8,00;68,46
8;1;152790;30/05/2018;1;2457;96,48;900,73
8;1;152790;30/05/2018;1;2505;0,00;1369,28
8;1;154148;05/12/2016;1;200;13,00;1,06
8;1;154148;05/12/2016;1;222;0,00;0,17
8;1;154148;05/12/2016;1;650;12,00;2,80
8;1;154148;05/12/2016;1;651;3,00;0,70
8;1;154148;05/12/2016;1;659;0,00;1,17
8;1;154148;05/12/2016;1;850;3,00;0,70
8;1;154148;05/12/2016;1;900;2,00;0,47
8;1;154148;05/12/2016;1;950;60,00;5,60
8;1;154148;05/12/2016;1;2000;8,00;0,09
8;1;154148;05/12/2016;1;2003;8,00;0,05
8;1;154148;05/12/2016;1;2505;0,00;1,17
8;1;154148;13/04/2016;1;200;13,00;522,69
8;1;154148;13/04/2016;1;222;5,00;78,40
8;1;154148;13/04/2016;1;306;14,00;19,60
8;1;154148;13/04/2016;1;311;0,00;0,00
8;1;154148;13/04/2016;1;650;12,00;1390,19
8;1;154148;13/04/2016;1;651;3,00;366,84
8;1;154148;13/04/2016;1;659;0,00;585,68
8;1;154148;13/04/2016;1;850;3,00;353,47
8;1;154148;13/04/2016;1;900;2,00;231,19
8;1;154148;13/04/2016;1;950;60,00;2778,92
8;1;154148;13/04/2016;1;1951;20,00;76,27
8;1;154148;13/04/2016;1;2000;8,00;54,18
8;1;154148;13/04/2016;1;2003;8,00;28,27
8;1;154148;13/04/2016;1;2505;0,00;584,66
8;1;154148;22/04/2016;1;650;12,00;176,00
8;1;154148;22/04/2016;1;651;3,00;44,00
8;1;154148;22/04/2016;1;659;0,00;73,33
8;1;154148;22/04/2016;1;850;3,00;44,00
8;1;154148;22/04/2016;1;900;2,00;29,34
8;1;154148;22/04/2016;1;950;60,00;352,00
8;1;154148;22/04/2016;1;2003;8,00;3,52
8;1;154148;22/04/2016;1;2505;0,00;73,34
8;1;155314;22/12/2017;1;200;18,00;1776,85
8;1;155314;22/12/2017;1;222;7,00;373,14
8;1;155314;22/12/2017;1;306;8,00;13,60
8;1;155314;22/12/2017;1;311;0,18;2,42
8;1;155314;22/12/2017;1;347;1,00;2961,42
8;1;155314;22/12/2017;1;650;12,00;3583,32
8;1;155314;22/12/2017;1;651;7,00;2090,27
8;1;155314;22/12/2017;1;659;0,00;1891,20
8;1;155314;22/12/2017;1;850;0,00;0,00
8;1;155314;22/12/2017;1;900;3,00;895,83
8;1;155314;22/12/2017;1;950;90,00;10749,96
8;1;155314;22/12/2017;1;2000;9,00;193,28
8;1;155314;22/12/2017;1;2055;0,00;0,00
8;1;155314;22/12/2017;1;2201;0,00;0,00
8;1;155314;22/12/2017;1;2505;0,00;895,83
8;1;156370;20/05/2008;1;200;13,00;854,27
8;1;156370;20/05/2008;1;220;0,00;45,50
8;1;156370;20/05/2008;1;650;12,00;2076,39
8;1;156370;20/05/2008;1;651;1,00;173,03
8;1;156370;20/05/2008;1;659;0,00;749,81
8;1;156370;20/05/2008;1;850;4,00;692,13
8;1;156370;20/05/2008;1;900;1,00;173,03
8;1;156370;20/05/2008;1;950;30,00;2076,39
8;1;156370;20/05/2008;1;2000;8,00;71,98
8;1;156370;20/05/2008;1;2003;8,00;55,37
8;1;156370;20/05/2008;1;2014;15,00;202,57
8;1;156370;20/05/2008;1;2505;0,00;865,16
8;1;157538;23/07/2008;1;200;16,00;781,24
8;1;157538;23/07/2008;1;220;0,00;214,40
8;1;157538;23/07/2008;1;650;12,00;1866,83
8;1;157538;23/07/2008;1;651;2,00;311,14
8;1;157538;23/07/2008;1;659;0,00;725,99
8;1;157538;23/07/2008;1;850;7,00;1088,98
8;1;157538;23/07/2008;1;900;0,00;155,57
8;1;157538;23/07/2008;1;950;30,00;1866,83
8;1;157538;23/07/2008;1;2000;9,00;89,60
8;1;157538;23/07/2008;1;2003;9,00;98,00
8;1;157538;23/07/2008;1;2014;27,50;249,77
8;1;157538;23/07/2008;1;2056;4,00;74,67
8;1;157538;23/07/2008;1;2505;0,00;1244,55
8;1;158453;15/05/2020;1;200;12,00;1172,69
8;1;158453;15/05/2020;1;220;0,00;161,22
8;1;158453;15/05/2020;1;222;7,00;280,12
8;1;158453;15/05/2020;1;286;0,00;0,00
8;1;158453;15/05/2020;1;305;0,00;26,40
8;1;158453;15/05/2020;1;306;13,00;26,00
8;1;158453;15/05/2020;1;651;11,00;3698,81
8;1;158453;15/05/2020;1;659;0,00;1232,94
8;1;158453;15/05/2020;1;850;4,00;1345,02
8;1;158453;15/05/2020;1;900;3,00;1008,77
8;1;158453;15/05/2020;1;950;90,00;12105,21
8;1;158453;15/05/2020;1;2000;8,03;129,58
8;1;158453;15/05/2020;1;2003;8,67;204,08
8;1;158453;15/05/2020;1;2005;7,50;18,43
8;1;158453;15/05/2020;1;2500;8,00;1097,53
8;1;158453;15/05/2020;1;2505;0,00;2353,79
8;1;158453;15/05/2020;1;9030;8,00;188,30
8;1;159727;06/04/2015;1;200;6,00;689,89
8;1;159727;06/04/2015;1;220;0,00;38,11
8;1;159727;06/04/2015;1;222;6,00;131,04
8;1;159727;06/04/2015;1;650;12,00;4295,20
8;1;159727;06/04/2015;1;651;8,00;2863,47
8;1;159727;06/04/2015;1;659;0,00;2386,22
8;1;159727;06/04/2015;1;850;3,00;1073,80
8;1;159727;06/04/2015;1;900;3,00;1073,80
8;1;159727;06/04/2015;1;950;90,00;12885,60
8;1;159727;06/04/2015;1;2000;8,00;68,72
8;1;159727;06/04/2015;1;2003;8,00;85,90
8;1;159727;06/04/2015;1;2056;1,00;9,17
8;1;159727;06/04/2015;1;2505;0,00;2147,60
8;1;161004;31/03/2017;1;200;3,00;521,93
8;1;161004;31/03/2017;1;220;0,00;21,09
8;1;161004;31/03/2017;1;222;6,00;97,74
8;1;161004;31/03/2017;1;651;12,00;6407,61
8;1;161004;31/03/2017;1;659;0,00;2135,87
8;1;161004;31/03/2017;1;850;3,00;1601,90
8;1;161004;31/03/2017;1;900;3,00;1601,90
8;1;161004;31/03/2017;1;950;90,00;19222,83
8;1;161004;31/03/2017;1;2000;8,00;51,26
8;1;161004;31/03/2017;1;2003;8,00;128,15
8;1;161004;31/03/2017;1;2055;2,00;108,60
8;1;161004;31/03/2017;1;2505;0,00;3203,80
8;1;161144;28/06/2017;1;200;30,00;3420,59
8;1;161144;28/06/2017;1;220;0,00;1539,34
8;1;161144;28/06/2017;1;222;5,00;743,99
8;1;161144;28/06/2017;1;651;8,00;3802,61
8;1;161144;28/06/2017;1;659;0,00;1267,54
8;1;161144;28/06/2017;1;850;6,00;2851,96
8;1;161144;28/06/2017;1;2000;11,00;608,44
8;1;161144;28/06/2017;1;2003;11,00;313,71
8;1;161144;28/06/2017;1;2004;27,50;427,62
8;1;161144;28/06/2017;1;2005;7,50;19,13
8;1;161144;28/06/2017;1;2056;1,00;49,60
8;1;161144;28/06/2017;1;2500;8,00;456,31
8;1;161144;28/06/2017;1;2505;0,00;2851,96
8;1;161144;28/06/2017;1;9030;8,00;228,15
8;1;166898;19/09/2007;1;200;12,00;470,09
8;1;166898;19/09/2007;1;220;0,00;142,40
8;1;166898;19/09/2007;1;222;3,00;91,87
8;1;166898;19/09/2007;1;230;0,00;1531,23
8;1;166898;19/09/2007;1;651;9,00;1320,68
8;1;166898;19/09/2007;1;659;0,00;440,23
8;1;166898;19/09/2007;1;850;8,00;1173,94
8;1;166898;19/09/2007;1;900;1,00;146,74
8;1;166898;19/09/2007;1;950;30,00;1760,91
8;1;166898;19/09/2007;1;2000;7,65;53,88
8;1;166898;19/09/2007;1;2003;9,00;105,65
8;1;166898;19/09/2007;1;2014;15,00;67,09
8;1;166898;19/09/2007;1;2057;0,00;5,00
8;1;166898;19/09/2007;1;2505;0,00;1320,68
8;1;167142;09/03/2024;1;200;9,00;663,61
8;1;167142;09/03/2024;1;222;7,00;139,36
8;1;167142;09/03/2024;1;257;0,50;8,02
8;1;167142;09/03/2024;1;265;0,00;12,41
8;1;167142;09/03/2024;1;296;3,37;54,03
8;1;167142;09/03/2024;1;305;0,00;25,20
8;1;167142;09/03/2024;1;651;9,00;2016,74
8;1;167142;09/03/2024;1;659;0,00;672,25
8;1;167142;09/03/2024;1;850;2,00;446,10
8;1;167142;09/03/2024;1;900;3,00;669,14
