codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;073;GRAZZIOTIN S/A;PRM - TRES COROAS 073;MUNDO NOVO;;184;3557;RS;4321709;55;0;;F;1;092012467007344;;;;4781400;5232;;;4781400;1;AV;95660000;GRAZZIOTIN S A TRES COROAS        
8;074;GRAZZIOTIN S/A;PRM - FRAIBURGO 074;PADRE BIAGGIO SIMONETTI;;142;2538;SC;4205506;55;0;;F;1;092012467007425;;;;4781400;5232;;;4781400;1;R;89580000;GRAZZIOTIN S A FRAIBURGO          
8;075;GRAZZIOTIN S/A;PRM - DOIS VIZINHOS 075;PRUDENTE DE MORAIS;;528;4065;PR;4107207;55;0;;F;1;092012467007506;;;;4781400;5232;;;4781400;1;R;85660000;GRAZZIOTIN S A DOIS VIZINHOS      
8;076;GRAZZIOTIN S/A;TOT - SAO MIGUEL DO OESTE 076;RUA SANTOS DUMOND;ESQ.ALM.BAR;733;1730;SC;4217204;55;0;;F;1;092012467007697;;;;4781400;5232;;;4781400;1;R;89900000;GRAZZIOTIN S A SAO MIGUEL         
8;079;GRAZZIOTIN S/A;TOT - FRANCISCO BELTRAO 079;PONTA GROSSA;;1965;388;PR;4108403;55;0;;F;1;092012467007930;;;;4759899;5232;;;4759899;1;R;85601600;GRAZZIOTIN S A FCO. BELTRAO       
8;080;GRAZZIOTIN S/A;PRM - QUARAI 080;SETE DE SETEMBRO;;930;2832;RS;4315305;55;0;;F;1;092012467008073;;;;4781400;5232;;;4781400;1;AV;97560000;GRAZZIOTIN S A QUARAI             
8;081;GRAZZIOTIN S/A;TOT - ESTEIO 081;AV.PRESIDENTE VARGAS;;760;189;RS;4307708;55;0;;F;1;092012467008154;;;;4781400;5232;;;4781400;1;R;93260004;GRAZZIOTIN S A ESTEIO             
8;082;GRAZZIOTIN S/A;PRM - TRIUNFO 082;LUIZ BARRETO;SALA 02;471;3313;RS;4322004;55;0;;F;1;092012467008235;;;;4781400;5232;;;4781400;1;R;95840000;GRAZZIOTIN S A TRIUNFO            
8;083;GRAZZIOTIN S/A;TOT - SANTA MARIA 083;NOSSA SRA DE MEDIANEIRA;;1055;18;RS;4316907;55;0;;F;1;092012467008316;;;;4759899;5232;;;4759899;1;AV;97060003;GRAZZIOTIN S A SANTA MARIA        
8;084;GRAZZIOTIN S/A;TOT - BENTO GONCALVES 084;BARAO DO RIO BRANCO;SALA 2;402;36;RS;4302105;55;0;;F;1;092012467008405;;;;4759899;5232;;;4759899;1;R;95700168;GRAZZIOTIN S A BENTO GONCALVES    
8;085;GRAZZIOTIN S/A;TOT - TRES DE MAIO 085;RUA PADRE CACIQUE;;1101;754;RS;4321808;55;0;;F;1;092012467008588;;;;4781400;5232;;;4781400;1;R;98910000;GRAZZIOTIN S A TRES DE MAIO       
8;086;GRAZZIOTIN S/A;TOT - PELOTAS 086;PRACA 20 DE SETEMBRO;;482;330;RS;4314407;55;0;;F;1;092012467008669;;;;4781400;5232;;;4781400;1;PC;96015360;GRAZZIOTIN S A PELOTAS            
8;087;GRAZZIOTIN S/A;TOT - ALEGRETE 087;RUA BARAO DO AMAZONAS;;462;317;RS;4300406;55;0;;F;1;092012467008740;;;;4759899;5232;;;4759899;1;R;97542100;GRAZZIOTIN S A ALEGRETE           
8;088;GRAZZIOTIN S/A;TOT - XANXERE 088;CORONEL PASSOS MAIA;SALA 01;530;525;SC;4219507;55;0;;F;1;092012467008820;;;;4759899;5232;;;4759899;1;R;89820000;GRAZZIOTIN S A XANXERE            
8;089;GRAZZIOTIN S/A;TOT - SANTANA DO LIVRAMENTO 089;HUGOLINO ANDRADE;;279;147;RS;4317103;55;0;;F;1;092012467008901;;;;4759899;5232;;;4759899;1;R;97573577;GRAZZIOTIN S A LIVRAMENTO         
8;092;GRAZZIOTIN S/A;TOT - VACARIA 092;JULIO DE CASTILHOS;;1176;70;RS;4322509;55;0;;F;1;092012467009207;;;;4759899;5232;;;4759899;1;AV;95200040;GRAZZIOTIN S A VACARIA            
8;093;GRAZZIOTIN S/A;GRZ - SAO LEOPOLDO 093;INDEPENDENCIA;;905;117;RS;4318705;55;0;;F;1;092012467009398;;;;4781400;5232;;;4781400;1;AV;93010003;GRAZZIOTIN S A SAO LEOPOLDO       
