codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;275956;01/11/1995;2;1;;;01/11/1995;275956;;1;N;1
8;1;275964;01/11/1995;2;1;;;01/11/1995;275964;;1;N;1
8;1;275972;01/11/1995;2;1;;;01/11/1995;275972;;1;N;1
8;1;275981;06/11/1995;2;1;;;06/11/1995;275981;;1;N;1
8;1;275999;01/11/1995;2;1;;;01/11/1995;275999;;1;N;1
8;1;276014;01/11/1995;2;1;;;01/11/1995;276014;;1;N;1
8;1;276022;01/11/1995;2;1;;;01/11/1995;276022;;1;N;1
8;1;276031;06/11/1995;2;1;;;06/11/1995;276031;;1;N;1
8;1;276049;06/11/1995;2;1;;;06/11/1995;276049;;1;N;1
8;1;276057;06/11/1995;2;1;;;06/11/1995;276057;;1;N;1
8;1;276065;06/11/1995;2;1;;;06/11/1995;276065;;1;N;1
8;1;276073;01/11/1995;2;1;;;01/11/1995;276073;;1;N;1
8;1;276090;01/11/1995;2;1;;;01/11/1995;276090;;1;N;1
8;1;276103;06/11/1995;2;1;;;06/11/1995;276103;;1;N;1
8;1;276120;06/11/1995;2;1;;;06/11/1995;276120;;1;N;1
8;1;276138;01/11/1995;2;1;;;01/11/1995;276138;;1;N;1
8;1;276146;01/11/1995;2;1;;;01/11/1995;276146;;1;N;1
8;1;276154;01/11/1995;2;1;;;01/11/1995;276154;;1;N;1
8;1;276162;01/11/1995;2;1;;;01/11/1995;276162;;1;N;1
8;1;276171;08/11/1995;2;1;;;08/11/1995;276171;;1;N;1
8;1;276189;08/11/1995;2;1;;;08/11/1995;276189;;1;N;1
8;1;276197;08/11/1995;2;1;;;08/11/1995;276197;;1;N;1
8;1;276201;08/11/1995;2;1;;;08/11/1995;276201;;1;N;1
8;1;276227;06/11/1995;2;1;;;06/11/1995;276227;;1;N;1
8;1;276260;06/11/1995;2;1;;;06/11/1995;276260;;1;N;1
8;1;276278;06/11/1995;2;1;;;06/11/1995;276278;;1;N;1
