codigo_estrutura_cargos;codigo_cargo;titulo_reduzido;titulo_completo;numero_cbo_2002;data_criacao;data_extincao;cnh_obrigatorio;OCLOBR;sigla_conselho_profissional
1;225;VEND.MODA MASCULINA;VEND.MODA MASCULINA;5211-10;;;N;N;
1;227;CIE-E DE ORIENT.VENDA;CIE-E DE ORIENT.VENDA;3541-25;;;N;N;
1;229;VENDEDOR        (TECH BOX);VENDEDOR        (TECH BOX);5211-10;;;N;N;
1;231;VENDEDOR M.FEMININA;VENDEDOR M.FEMININA;5211-10;;;N;N;
1;4;DIRETOR VICE-PRESIDENTE;DIRETOR VICE-PRESIDENTE;1210-10;;;N;N;
1;5;DIRETOR COMERCIAL;DIRETOR COMERCIAL;1210-10;;;N;N;
1;24;ASSISTENTE ADMINISTRATIVO;ASSISTENTE ADMINISTRATIVO;4110-10;;;N;N;
1;68;SERVENTE;SERVENTE;5143-20;;;N;N;
1;168;ESTAGIARIO;ESTAGIARIO;4110-05;;;N;N;
1;181;PORTEIRO;PORTEIRO;5174-10;;;N;N;
1;235;AUX. DE MONITORAMENTO;AUX. DE MONITORAMENTO;5173-30;;;N;N;
1;237;RECEPCIONISTA DE BALCAO;RECEPCIONISTA DE BALCAO;4221-05;;;N;N;
1;238;AUX. ADMINISTRATIVO I;AUX. ADMINISTRATIVO I;4110-10;;;N;N;
1;239;RECEPCIONISTA ADMINISTRACAO;RECEPCIONISTA ADMINISTRACAO;4221-05;;;N;N;
1;241;ENCARREGADO DE MANUTENCAO E LI;ENCARREGADO DE MANUTENCAO E LIMPEZA;5142-10;;;N;N;
1;242;ELETRICISTA;ELETRICISTA;9511-05;;;N;N;
1;244;SUPERVISOR;SUPERVISOR;5201-10;;;N;N;
1;245;AUX.ADMINISTRATIVO II;AUX.ADMINISTRATIVO II;4110-10;;;N;N;
1;246;ASSESSORA DE MARKETING;ASSESSORA DE MARKETING;2531-15;;;N;N;
1;247;GERENTE GERAL;GERENTE GERAL;1421-05;;;N;N;
1;248;ENCARREGADO DE LIMPEZA;ENCARREGADO DE LIMPEZA;5143-25;;;N;N;
1;249;SUPERVISOR OPERACIONAL;SUPERVISOR OPERACIONAL;5201-10;;;N;N;
1;3;DIRETOR PRESIDENTE;DIRETOR PRESIDENTE;1210-10;;;N;N;
1;127;DIRETOR VICE PRESIDENTE;DIRETOR VICE PRESIDENTE;1210-10;;;N;N;
1;142;TECNICO SEG. DO TRABALHO;TECNICO SEG. DO TRABALHO;3516-05;;;N;N;
1;144;TEC.ENFERMAGEM DO TRABALHO;TEC.ENFERMAGEM DO TRABALHO;3222-15;;;N;N;
1;149;AUXILIAR DE ARQUITETURA;AUXILIAR DE ARQUITETURA;3185-05;;;N;N;
1;250;AUX. TÉC. EM MANUTENCAO;AUX. TÉC. EM MANUTENCAO;3172-10;;;N;N;
1;251;AUXILIAR DE LOJA (ARRAZZO);AUXILIAR DE LOJA (ARRAZZO);3541-25;;;N;N;
1;252;GERENTE LOJA (ARRAZZO);GERENTE LOJA (ARRAZZO);1414-15;;;N;N;
1;253;ENCARREGADO FINANCEIRO;ENCARREGADO FINANCEIRO;4131-10;;;N;N;
1;254;ENCARREGADO DE CONTABILIDADE;ENCARREGADO DE CONTABILIDADE;4131-10;;;N;N;
1;121;ORIENTADOR DE VENDA (TOTTAL);ORIENTADOR DE VENDA (TOTTAL);3541-25;;;N;N;
1;259;ASSESSORA ADMINISTRATIVA;ASSESSORA ADMINISTRATIVA;4110-10;;;N;N;
1;260;AUXILIAR TECNICO;AUXILIAR TECNICO;3172-05;;;N;N;
1;261;PROGRAMADOR TRAINEE;PROGRAMADOR TRAINEE;3171-10;;;N;N;
1;266;SUPERVISOR DE COMPRAS;SUPERVISOR DE COMPRAS;3542-10;;;N;N;
1;267;ENCARREGADO DE SETOR;ENCARREGADO DE SETOR;3511-10;;;N;N;
1;268;GERENTE DE IMPORTACAO;GERENTE DE IMPORTACAO;1423-05;;;N;N;
1;256;ENCARREGADO DEPÓSITO;ENCARREGADO DEPÓSITO;4101-05;;;N;N;
1;257;ENCARREGADO CONTABILIDADE;ENCARREGADO CONTABILIDADE;4101-05;;;N;N;
1;258;AUX. CONTABILIDADE III;AUX. CONTABILIDADE III;4131-10;;;N;N;
1;269;AUXILIAR DE CONTABILIDADE;AUXILIAR DE CONTABILIDADE;4131-10;;;N;N;
1;270;ANALISTA DE LOGISTICA;ANALISTA DE LOGISTICA;3421-10;;;N;N;
1;13;DIRETOR ADMINISTRATIVO ADJUNTO;DIRETOR ADMINISTRATIVO ADJUNTO;1231-05;;;N;N;
1;16;DIRETOR FINANCEIRO ADJUNTO;DIRETOR FINANCEIRO ADJUNTO;1231-15;;;N;N;
1;264;GERENTE TRAINEE;GERENTE TRAINEE;4101-05;;;N;N;
1;255;GERENTE DE RECURSOS HUMANOS;GERENTE DE RECURSOS HUMANOS;1422-05;;;N;N;
1;262;AUXILIAR DE MANUTENCAO;AUXILIAR DE MANUTENCAO;5142-25;;;N;N;
1;263;ENCARREGADO DE SERVICOS GERAIS;ENCARREGADO DE SERVICOS GERAIS;5142-25;;;N;N;
1;265;ASSISTENTE DE VENDAS;ASSISTENTE DE VENDAS;3541-25;;;N;N;
1;6;GERENTE FINANCEIRO;GERENTE FINANCEIRO;1421-05;;;N;N;
1;8;GERENTE DE VENDAS;GERENTE DE VENDAS;1423-20;;;N;N;
1;9;ASSISTENTE COMERCIAL I;ASSISTENTE COMERCIAL I;3541-25;;;N;N;
1;10;ASSISTENTE COMERCIAL;ASSISTENTE COMERCIAL;3541-25;;;N;N;
1;11;ASSESSORA ADM;ASSESSORA ADM;1421-05;;;N;N;
1;25;CHEFE DE CONTABILIDADE II;CHEFE DE CONTABILIDADE II;4101-05;;;N;N;
1;29;INSTRUTOR;INSTRUTOR;2332-15;;;N;N;
1;35;AUX. CONTABILIDADE I;AUX. CONTABILIDADE I;4131-10;;;N;N;
1;38;AUX.CONTABILIDADE IV;AUX.CONTABILIDADE IV;4131-10;;;N;N;
1;39;AUX. CONTABILIDADE V;AUX. CONTABILIDADE V;4131-10;;;N;N;
1;42;TELEMARKETING;TELEMARKETING;4223-05;;;N;N;
1;43;TELEMARKETING II;TELEMARKETING II;4223-05;;;N;N;
1;44;TELEMARKETING III;TELEMARKETING III;4223-05;;;N;N;
1;48;OPERADOR EMPILHADEIRA I;OPERADOR EMPILHADEIRA I;7822-20;;;N;N;
1;51;AUX.DISTRIBUICAO TEMPORARIO;AUX.DISTRIBUICAO TEMPORARIO;7832-10;;;N;N;
1;57;AUXILIAR DE ESCRITORIO I;AUXILIAR DE ESCRITORIO I;4110-05;;;N;N;
1;59;AUXILIAR DE ESCRITORIO III;AUXILIAR DE ESCRITORIO III;4110-05;;;N;N;
1;63;AUXILIAR DE DISTRIBUICAO IV;AUXILIAR DE DISTRIBUICAO IV;7832-10;;;N;N;
1;117;VENDEDOR EXTERNO;VENDEDOR EXTERNO;3541-45;;;N;N;
1;118;VENDEDOR;VENDEDOR;5211-10;;;N;N;
1;125;VENDEDOR ELETRO (TECH BOX);VENDEDOR ELETRO (TECH BOX);5211-10;;;N;N;
1;2;CONSELHO ADMINISTRACAO;CONSELHO ADMINISTRACAO;1210-10;;;N;N;
1;12;DIRETOR ADJUNTO;DIRETOR ADJUNTO;1231-05;;;N;N;
1;14;GERENTE;GERENTE;1421-05;;;N;N;
1;15;COMPRADOR;COMPRADOR;3542-05;;;N;N;
1;17;COMPRADOR TRAINEE;COMPRADOR TRAINEE;3542-05;;;N;N;
1;18;COMPRADOR ALMOXARIFADO (ADM);COMPRADOR ALMOXARIFADO (ADM);4110-05;;;N;N;
1;19;CHEFE DE PROPAGANDA;CHEFE DE PROPAGANDA;4101-05;;;N;N;
1;22;PREPARADOR DE DADOS;PREPARADOR DE DADOS;3171-15;;;N;N;
1;23;OPERADOR DE COMPUTADOR;OPERADOR DE COMPUTADOR;3172-05;;;N;N;
1;26;CHEFE DE SECAO II;CHEFE DE SECAO II;4101-05;;;N;N;
1;27;CHEFE DE SECAO;CHEFE DE SECAO;4101-05;;;N;N;
1;28;ASSISTENTE JURIDICO;ASSISTENTE JURIDICO;4110-10;;;N;N;
1;30;AUXILIAR DE COMPRAS (ADM);AUXILIAR DE COMPRAS (ADM);4110-05;;;N;N;
1;31;AUDITOR;AUDITOR;2522-05;;;N;N;
1;32;TECNICO TREINAMENTO;TECNICO TREINAMENTO;2332-15;;;N;N;
1;33;INSPETOR DE ESTOQUE;INSPETOR DE ESTOQUE;4141-05;;;N;N;
1;41;ELETRECISTA;ELETRECISTA;7156-15;;;N;N;
1;45;SECRETARIA;SECRETARIA;2523-05;;;N;N;
1;46;ENCARREGADO DIGITACAO;ENCARREGADO DIGITACAO;4121-20;;;N;N;
1;47;CAIXA (ADM);CAIXA (ADM);4211-25;;;N;N;
1;52;ARQUIVISTA;ARQUIVISTA;2613-05;;;N;N;
1;54;AUXILIAR DE PESSOAL I;AUXILIAR DE PESSOAL I;4110-30;;;N;N;
1;55;AUXILIAR DE PESSOAL II;AUXILIAR DE PESSOAL II;4110-30;;;N;N;
1;56;AUXILIAR DE PESSOAL III;AUXILIAR DE PESSOAL III;4110-30;;;N;N;
1;60;AUXILIAR DE DISTRIBUICAO;AUXILIAR DE DISTRIBUICAO;7832-10;;;N;N;
1;61;AUXILIAR DE DISTRIBUICAO II;AUXILIAR DE DISTRIBUICAO II;7832-10;;;N;N;
1;62;AUXILIAR DE DISTRIBUICAO III;AUXILIAR DE DISTRIBUICAO III;7832-10;;;N;N;
1;64;DIGITADOR;DIGITADOR;4121-10;;;N;N;
1;65;TELEFONISTA;TELEFONISTA;4222-05;;;N;N;
1;66;AUXILIAR ALMOXARIFADO;AUXILIAR ALMOXARIFADO;4141-05;;;N;N;
1;67;GUARDA DE SEGURANCA;GUARDA DE SEGURANCA;5173-30;;;N;N;
1;69;AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVICOS GERAIS;5142-25;;;N;N;
1;70;JARDINEIRO;JARDINEIRO;6220-10;;;N;N;
1;71;MENOR APRENDIZ;MENOR APRENDIZ;4110-05;;;N;N;
1;72;MOTORISTA;MOTORISTA;7823-05;;;N;N;
1;73;DIGITADOR FREE;DIGITADOR FREE;4121-10;;;N;N;
1;74;APRENDIZ ADM/LOJAS;APRENDIZ ADM/LOJAS;4110-10;;;N;N;
1;75;APRENDIZ CIE-E;APRENDIZ CIE-E;4110-05;;;N;N;
1;77;GERENTE DE LOJA A;GERENTE DE LOJA A;1414-15;;;N;N;
1;78;GERENTE DE LOJA B;GERENTE DE LOJA B;1414-15;;;N;N;
1;79;GERENTE DE LOJA C;GERENTE DE LOJA C;1414-15;;;N;N;
1;80;GERENTE DE LOJA D;GERENTE DE LOJA D;1414-15;;;N;N;
1;86;GERENTE LOJA POR MENOS A;GERENTE LOJA POR MENOS A;1414-15;;;N;N;
1;87;GERENTE LOJA POR MENOS B;GERENTE LOJA POR MENOS B;1414-15;;;N;N;
1;88;GERENTE LOJA POR MENOS C;GERENTE LOJA POR MENOS C;1414-15;;;N;N;
1;89;GERENTE LOJA POR MENOS D;GERENTE LOJA POR MENOS D;1414-15;;;N;N;
1;90;GERENTE ADJUNTO;GERENTE ADJUNTO;1414-15;;;N;N;
1;92;SUB-GERENTE LOJA B;SUB-GERENTE LOJA B;1414-15;;;N;N;
1;93;SUB-GERENTE LOJA C;SUB-GERENTE LOJA C;1414-15;;;N;N;
1;96;ESTAGIARIO GDA;ESTAGIARIO GDA;3541-25;;;N;N;
1;97;ANALISTA DE CREDITO;ANALISTA DE CREDITO;4102-25;;;N;N;
1;98;CHEFE DE VENDAS;CHEFE DE VENDAS;1414-15;;;N;N;
1;99;CHEFE DE ESCRITORIO;CHEFE DE ESCRITORIO;4101-05;;;N;N;
1;100;CHEFE DE FISCAL DE LOJA;CHEFE DE FISCAL DE LOJA;1414-15;;;N;N;
1;101;CHEFE DE CAIXA;CHEFE DE CAIXA;4211-25;;;N;N;
1;102;CAIXA GERAL ( LOJA );CAIXA GERAL ( LOJA );4211-25;;;N;N;
1;103;CAIXA (TOT);CAIXA (TOT);4211-25;;;N;N;
1;104;CAIXA (GRZ);CAIXA (GRZ);4211-25;;;N;N;
1;106;ENC.DISTR./MANUTENCAO;ENC.DISTR./MANUTENCAO;3423-15;;;N;N;
1;107;ENCARREGADO DISTRIBUICAO;ENCARREGADO DISTRIBUICAO;3423-15;;;N;N;
1;108;AUXILIAR DE VENDAS;AUXILIAR DE VENDAS;5211-10;;;N;N;
1;109;AUXILIAR ESCRITORIO;AUXILIAR ESCRITORIO;4110-05;;;N;N;
1;111;AUXILIAR ESCRITORIO (SENAC);AUXILIAR ESCRITORIO (SENAC);4110-05;;;N;N;
1;112;AUXILIAR DISTRIBUICAO (L);AUXILIAR DISTRIBUICAO (L);7832-10;;;N;N;
1;120;VENDEDOR MODA MASCULINA;VENDEDOR MODA MASCULINA;5211-10;;;N;N;
1;122;ORIENTADOR DE VENDA (GRZ);ORIENTADOR DE VENDA (GRZ);3541-25;;;N;N;
1;123;FISCAL DE LOJA;FISCAL DE LOJA;5211-10;;;N;N;
1;124;VENDEDOR FREE TECHBOX;VENDEDOR FREE TECHBOX;5211-10;;;N;N;
1;129;ARQUITETO;ARQUITETO;2141-10;;;N;N;
1;130;CHEFE DE SECAO CONTABILIDADE;CHEFE DE SECAO CONTABILIDADE;4101-05;;;N;N;
1;131;DIRETOR ADJUNTO (RH);DIRETOR ADJUNTO (RH);1232-05;;;N;N;
1;132;GERENTE REGIONAL TOTTAL;GERENTE REGIONAL TOTTAL;1421-05;;;N;N;
1;133;GERENTE REGIONAL GRAZZIOTIN;GERENTE REGIONAL GRAZZIOTIN;1421-05;;;N;N;
1;134;GERENTE REGIONAL FRANCO GIOR;GERENTE REGIONAL FRANCO GIOR;1421-05;;;N;N;
1;135;GERENTE REGIONAL POR MENOS;GERENTE REGIONAL POR MENOS;1421-05;;;N;N;
1;136;GERENTE REGIONAL ARRAZO;GERENTE REGIONAL ARRAZO;1421-05;;;N;N;
1;137;GERENTE DE SUPORTE;GERENTE DE SUPORTE;1425-30;;;N;N;
1;138;GERENTE DE PROGRAMACAO;GERENTE DE PROGRAMACAO;1421-05;;;N;N;
1;139;GERENTE DE INFORMATICA;GERENTE DE INFORMATICA;1421-05;;;N;N;
1;140;SUPERVISOR DE TI - INOVAÇÃO E;SUPERVISOR DE TI - INOVAÇÃO E DESENVOLVIMENTO;4121-20;;;N;N;
1;141;SUPERVISOR REGIONAL;SUPERVISOR REGIONAL;1421-05;;;N;N;
1;143;ENGENHEIRO SEG.DO TRABALHO;ENGENHEIRO SEG.DO TRABALHO;2149-15;;;N;N;
1;145;PROGRAMADOR;PROGRAMADOR;3171-10;;;N;N;
1;146;PROGRAMADOR II;PROGRAMADOR II;3171-10;;;N;N;
1;147;PROGRAMADOR III;PROGRAMADOR III;3171-10;;;N;N;
1;148;GERENTE DE PRODUTOS;GERENTE DE PRODUTOS;1417-05;;;N;N;
1;150;RECEPCIONISTA;RECEPCIONISTA;4221-05;;;N;N;
1;151;CHEFE DE DEPOSITO TECH BOX;CHEFE DE DEPOSITO TECH BOX;4101-05;;;N;N;
1;152;CHEFE DE RECRUTAMENTO E SELECA;CHEFE DE RECRUTAMENTO E SELECA;3513-15;;;N;N;
1;153;ASSESSOR DE DIRETORIA;ASSESSOR DE DIRETORIA;2523-05;;;N;N;
1;271;PROGRAMADOR IV;PROGRAMADOR IV;3171-10;;;N;N;
1;272;AUXILIAR DE PESSOAL;AUXILIAR DE PESSOAL;4110-30;;;N;N;
1;273;ZELADOR;ZELADOR;5141-20;;;N;N;
1;274;CONSELHO FISCAL;CONSELHO FISCAL;1210-10;;;N;N;
1;275;GERENTE DE CONTABILIDADE;GERENTE DE CONTABILIDADE;2522-10;;;N;N;
1;279;GERENTE OPERACIONAL FLORESTAL;GERENTE OPERACIONAL FLORESTAL;1411-10;;;N;N;
1;288;ENCARREGADA DE CARGOS E SALARI;ENCARREGADA DE CARGOS E SALARIOS;2524-05;;;N;N;
1;289;AUXILIAR DE ALMOXARIFADO III;AUXILIAR DE ALMOXARIFADO III;4141-05;;;N;N;
1;290;CHEFE ADMINISTRATIVO;CHEFE ADMINISTRATIVO;4101-05;;;N;N;
1;291;AGENTE OPERACIONAL DE QUALIDAD;AGENTE OPERACIONAL DE QUALIDADE;3912-15;;;N;N;
1;294;GERENTE LOJA POR MENOS E;GERENTE LOJA POR MENOS E;1414-15;;;N;N;
1;296;AUDITOR SENIOR;AUDITOR SENIOR;2522-05;;;N;N;
1;297;AUDITOR PLENO;AUDITOR PLENO;2522-05;;;N;N;
1;298;AUDITOR JUNIOR;AUDITOR JUNIOR;2522-05;;;N;N;
1;301;GERENTE DE DESIGNER DE MODA;GERENTE DE DESIGNER DE MODA;2624-25;;;N;N;
1;302;GERENTE GERAL;GERENTE GERAL;1414-15;;;N;N;
1;303;SUPERVISOR DE VENDAS;SUPERVISOR DE VENDAS;5201-10;;;N;N;
1;309;CONTROLLER;CONTROLLER;2522-10;;;N;N;
1;312;SUPERVISORA DE MARKETING;SUPERVISORA DE MARKETING;1423-15;;;N;N;
1;313;ASSISTENTE CONTABIL;ASSISTENTE CONTABIL;4131-10;;;N;N;
1;318;GERENTE LOJA FRANCO E;GERENTE LOJA FRANCO E;1414-15;;;N;N;
1;320;ANALISTA DEPARTAMENTO PESSOAL;ANALISTA DEPARTAMENTO PESSOAL;4131-05;;;N;N;
1;321;CHEFE DE SEÇÃO III;CHEFE DE SEÇÃO III;4101-05;;;N;N;
1;324;ANALISTA DE REDES;ANALISTA DE REDES;2124-10;;;N;N;
1;278;GERENTE DE COMUNICACAO E PROJE;GERENTE DE COMUNICACAO E PROJETOS;1423-10;;;N;N;
1;285;AUXILIAR DE EXPEDICAO;AUXILIAR DE EXPEDICAO;7832-15;;;N;N;
1;286;AUXILIAR DE EXPEDICAO II;AUXILIAR DE EXPEDICAO II;7832-15;;;N;N;
1;287;AUXILIAR DE EXPEDICAO III;AUXILIAR DE EXPEDICAO III;7832-15;;;N;N;
1;300;AUXILIAR DE MARKETING;AUXILIAR DE MARKETING;4110-05;;;N;N;
1;81;GERENTE DE LOJA E;GERENTE DE LOJA E;1414-15;;;N;N;
1;311;AUXILIAR CONTÁBIL;AUXILIAR CONTÁBIL;4131-10;;;N;N;
1;315;ASSISTENTE DE COMPRAS;ASSISTENTE DE COMPRAS;4110-10;;;N;N;
1;314;ASSISTENTE JURÍDICO;ASSISTENTE JURÍDICO;2410-05;;;N;N;
1;317;ASSIST. DE MARKETING - OPERACI;ASSISTENTE DE MARKETING - OPERACIONAL REDES;4110-10;;;N;N;
1;319;CONFERENTE DE ESTOQUE;CONFERENTE DE ESTOQUE;4141-05;;;N;N;
1;323;CHEFE DE SEÇÃO FLORESTAL;CHEFE DE SEÇÃO FLORESTAL;6301-10;;;N;N;
1;325;GERENTE REGIONAL;GERENTE REGIONAL;1421-05;;;N;N;
1;326;ASSISTENTE COMERCIAL TRAINEE;ASSISTENTE COMERCIAL TRAINEE;3541-25;;;N;N;
1;327;ANALISTA FINANCEIRO;ANALISTA FINANCEIRO;2525-45;;;N;N;
1;328;GERENTE DE LOJA HIBRIDA;GERENTE DE LOJA HIBRIDA;1414-15;;;N;N;
1;329;AUXILIAR DE VENDAS;AUXILIAR DE VENDAS;3541-25;;;N;N;
1;330;GERENTE VENDAS IMPORTAÇÃO;GERENTE VENDAS IMPORTAÇÃO;1423-05;;;N;N;
