CODIGO;NOME;SIGLA;NUMERO_CNPJ;MES_DATA_BASE;CODIGO_ENTIDADE;ENDERECO;NUMERO_ENDERECO;COMPLEMENTO_ENDERECO;CODIGO_CIDADE;CODIGO_CEP;ENTIDADE_SINDICAL_ALFA
82;SIND. EMP. COM. CARAZINHO (SOLED/SELBCH/STA.BARBARA);AJUSTAR;87447413000105;5;5179014227;ALEXANDRE DA MOTTA;540;;4304705;99500000;
83;SIND. EMP. COM. LAGOA VERMELHA (TAPEJARA, SANADUVA);AJUSTAR;87682738000164;3;5179042409;SETE DE SETEMBRO;895;;4311304;95300000;
84;SIND.EMP.COM.PAL.DAS MISSOES(FRED,ERV SECO,SEBE,RODEIO,PALM);AJUSTAR;90223454000114;3;5179019695;SETE DE SETEMBRO;444;;4313706;98300000;
85;SIND. EMP. COM. PASSO FUNDO (GUAPORE);AJUSTAR;92046820000132;4;5179875818;SILVIO SANSON;1330;SALA 112;4309407;99200000;
86;SIND. EMP. COM. PASSO FUNDO (MARAU);AJUSTAR;92046820000132;4;5179875818;DUQUE DE CAXIAS;181;SALA 307;4311809;99150000;
87;SIND. EMP. COM. CANGUCU (PIRATINI);AJUSTAR;03882797000196;6;911005179971380;CONSELHEIRO BRUSQUE;182;SALA 23;4304507;96600000;
88;SIND. EMP. COM. STA. ROSA (HORIZONTINA);AJUSTAR;90863663000122;5;5179015932;ANTONIO CARLOS BORGES;90;;4317202;98900000;
89;SIND. EMP. COM. SANTA ROSA (TRES DE MAIO);AJUSTAR;90863663000122;5;5179015932;ANTONIO CARLOS BORGES;90;;4317202;98900000;
90;SIND. EMP. COM. SAO BORJA (ITAQUI);AJUSTAR;88703384000150;3;5179019660;DOS ANDRADAS;1831;;4318002;97670000;
91;SIND. EMP. COM. SAO LEOPOLDO (ESTEIO);AJUSTAR;96757612000100;4;5179875915;RUA SAO DOMINGOS;1097;;4318705;93010290;
92;SIND.EMP.COM.FRA BELT. (DOIS VIZ./AMP/MARM/STO ANT. SUD/PLA);AJUSTAR;78123999000153;6;565000884223;RUA PERNAMBUCO;111;;4108403;85601300;
93;SIND.EMP.COM. FRANCISCO BELTRAO(BARRACAO/REALEZA);AJUSTAR;78123999000153;6;565000884223;RUA PERNAMBUCO;111;;4108403;85601300;
94;SIND. EMP. COM. SANTO ANGELO (GIRUA);AJUSTAR;88508700000132;2;5179495110;FLORENCIO DE ABREU;1261;;4317509;98804560;
