ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;265;ASSISTENTE DE VENDAS;ASSISTENTE DE VENDAS;3541-25;2025-12-22;;;;
1;6;GERENTE FINANCEIRO;GERENTE FINANCEIRO;1421-05;2025-12-22;;;;
1;8;GERENTE DE VENDAS;GERENTE DE VENDAS;1423-20;2025-12-22;;;;
1;9;ASSISTENTE COMERCIAL I;ASSISTENTE COMERCIAL I;3541-25;2025-12-22;;;;
1;10;ASSISTENTE COMERCIAL;ASSISTENTE COMERCIAL;3541-25;2025-12-22;;;;
1;11;ASSESSORA ADM;ASSESSORA ADM;1421-05;2025-12-22;;;;
1;25;CHEFE DE CONTABILIDADE II;CHEFE DE CONTABILIDADE II;4101-05;2025-12-22;;;;
1;29;INSTRUTOR;INSTRUTOR;2332-15;2025-12-22;;;;
1;35;AUX. CONTABILIDADE I;AUX. CONTABILIDADE I;4131-10;2025-12-22;;;;
1;38;AUX.CONTABILIDADE IV;AUX.CONTABILIDADE IV;4131-10;2025-12-22;;;;
1;39;AUX. CONTABILIDADE V;AUX. CONTABILIDADE V;4131-10;2025-12-22;;;;
1;42;TELEMARKETING;TELEMARKETING;4223-05;2025-12-22;;;;
1;43;TELEMARKETING II;TELEMARKETING II;4223-05;2025-12-22;;;;
1;44;TELEMARKETING III;TELEMARKETING III;4223-05;2025-12-22;;;;
1;48;OPERADOR EMPILHADEIRA I;OPERADOR EMPILHADEIRA I;7822-20;2025-12-22;;;;
1;51;AUX.DISTRIBUICAO TEMPORARIO;AUX.DISTRIBUICAO TEMPORARIO;7832-10;2025-12-22;;;;
1;57;AUXILIAR DE ESCRITORIO I;AUXILIAR DE ESCRITORIO I;4110-05;2025-12-22;;;;
1;59;AUXILIAR DE ESCRITORIO III;AUXILIAR DE ESCRITORIO III;4110-05;2025-12-22;;;;
1;63;AUXILIAR DE DISTRIBUICAO IV;AUXILIAR DE DISTRIBUICAO IV;7832-10;2025-12-22;;;;
1;117;VENDEDOR EXTERNO;VENDEDOR EXTERNO;3541-45;2025-12-22;;;;
1;118;VENDEDOR;VENDEDOR;5211-10;2025-12-22;;;;
1;125;VENDEDOR ELETRO (TECH BOX);VENDEDOR ELETRO (TECH BOX);5211-10;2025-12-22;;;;
1;2;CONSELHO ADMINISTRACAO;CONSELHO ADMINISTRACAO;1210-10;2025-12-22;;;;
1;12;DIRETOR ADJUNTO;DIRETOR ADJUNTO;1231-05;2025-12-22;;;;
1;14;GERENTE;GERENTE;1421-05;2025-12-22;;;;
1;15;COMPRADOR;COMPRADOR;3542-05;2025-12-22;;;;
1;17;COMPRADOR TRAINEE;COMPRADOR TRAINEE;3542-05;2025-12-22;;;;
1;18;COMPRADOR ALMOXARIFADO (ADM);COMPRADOR ALMOXARIFADO (ADM);4110-05;2025-12-22;;;;
1;19;CHEFE DE PROPAGANDA;CHEFE DE PROPAGANDA;4101-05;2025-12-22;;;;
1;22;PREPARADOR DE DADOS;PREPARADOR DE DADOS;3171-15;2025-12-22;;;;
1;23;OPERADOR DE COMPUTADOR;OPERADOR DE COMPUTADOR;3172-05;2025-12-22;;;;
1;26;CHEFE DE SECAO II;CHEFE DE SECAO II;4101-05;2025-12-22;;;;
1;27;CHEFE DE SECAO;CHEFE DE SECAO;4101-05;2025-12-22;;;;
1;28;ASSISTENTE JURIDICO;ASSISTENTE JURIDICO;4110-10;2025-12-22;;;;
1;30;AUXILIAR DE COMPRAS (ADM);AUXILIAR DE COMPRAS (ADM);4110-05;2025-12-22;;;;
1;31;AUDITOR;AUDITOR;2522-05;2025-12-22;;;;
1;32;TECNICO TREINAMENTO;TECNICO TREINAMENTO;2332-15;2025-12-22;;;;
1;33;INSPETOR DE ESTOQUE;INSPETOR DE ESTOQUE;4141-05;2025-12-22;;;;
