COD_EMP;FIXO1;COD_CONTRATO;DATA_INICIO;COD_CLH;COD_FUN_CARGO;COD_MOTIVO
8;1;347183;17/09/2004;190;;100
8;1;347183;12/08/2002;215;;100
8;1;347833;20/02/2004;190;;100
8;1;347833;16/09/2002;215;;100
8;1;361712;02/02/2004;215;;100
8;1;361720;02/02/2004;103;;100
8;1;361739;02/02/2004;215;;100
8;1;364070;09/06/2004;68;;100
8;1;366145;04/10/2004;215;;100
8;1;366200;06/10/2004;68;;100
8;1;374059;13/06/2005;68;;100
8;1;319775;01/06/2004;87;;100
8;1;319775;01/05/2004;88;;100
8;1;319775;01/04/2004;89;;100
8;1;319775;01/10/2002;206;;100
8;1;319775;01/01/2000;210;;100
8;1;319775;17/05/1999;213;;100
8;1;355054;01/03/2004;206;;100
8;1;355054;18/08/2003;60;;100
8;1;362573;08/03/2004;206;;100
8;1;362620;08/03/2004;206;;100
8;1;362905;01/08/2004;206;;100
8;1;362905;02/04/2004;204;;100
8;1;363340;03/05/2004;206;;100
8;1;369918;01/12/2004;204;;100
8;1;369926;01/12/2004;204;;100
8;1;369934;01/12/2004;204;;100
8;1;370037;01/12/2004;204;;100
8;1;80370;14/06/2005;212;;100
8;1;80380;19/09/2005;212;;100
8;1;281344;01/04/2004;89;;100
8;1;281344;15/10/2001;195;;100
8;1;281344;01/02/1996;122;;100
8;1;362638;08/03/2004;206;;100
8;1;362646;08/03/2004;206;;100
8;1;362654;08/03/2004;206;;43
8;1;362824;01/04/2004;204;;100
8;1;363944;17/08/2004;206;;100
8;1;363944;03/06/2004;204;;100
8;1;365416;19/08/2004;206;;100
8;1;369888;01/12/2004;204;;100
8;1;369896;01/12/2004;204;;100
8;1;369900;01/12/2004;204;;100
8;1;312070;01/05/2004;88;;100
8;1;312070;01/11/2001;206;;100
8;1;312070;10/08/1998;210;;100
8;1;363081;05/04/2004;206;;100
8;1;363090;05/04/2004;206;;100
8;1;363103;05/04/2004;206;;100
8;1;364037;08/06/2004;68;;100
8;1;370932;01/12/2004;204;;100
8;1;299944;01/05/2004;190;;100
8;1;299944;07/07/1997;215;;100
8;1;363170;12/04/2004;215;;100
8;1;363189;12/04/2004;215;;100
8;1;363197;12/04/2004;103;;100
8;1;364215;15/06/2004;68;;100
8;1;374105;10/06/2005;215;;100
8;1;375110;01/09/2005;215;;43
8;1;340049;20/05/2004;88;;100
8;1;340049;01/10/2002;206;;100
8;1;340049;01/01/2002;210;;100
8;1;340049;01/09/2001;204;;100
8;1;363383;03/05/2004;206;;100
8;1;363391;03/05/2004;206;;100
8;1;363405;03/05/2004;206;;100
8;1;363570;24/05/2004;204;;100
8;1;364045;21/06/2004;68;;100
8;1;369861;01/12/2004;204;;100
8;1;369870;01/12/2004;204;;100
8;1;313939;13/08/2004;89;;100
8;1;313939;19/11/1998;206;;100
8;1;365203;02/08/2004;206;;100
8;1;365211;02/08/2004;206;;100
8;1;365220;02/08/2004;206;;100
8;1;365360;23/08/2004;204;;100
8;1;365653;01/09/2004;68;;100
8;1;369853;01/12/2004;204;;100
8;1;330647;13/08/2004;88;;100
8;1;330647;01/10/2002;206;;100
8;1;330647;20/06/2000;210;;100
8;1;365165;02/08/2004;206;;100
8;1;365173;02/08/2004;206;;100
8;1;365181;02/08/2004;206;;100
8;1;304158;08/10/1997;122;;100
8;1;320579;28/06/1999;221;;100
8;1;320587;01/01/2000;120;;100
8;1;320587;28/06/1999;221;;100
8;1;326720;06/12/1999;204;;100
8;1;331180;14/07/2000;204;;100
8;1;335746;14/05/2001;120;;100
8;1;335746;04/12/2000;204;;100
8;1;338117;26/04/2001;120;;100
8;1;344362;08/12/2001;204;;100
8;1;351814;10/12/2002;204;;100
8;1;352837;03/02/2003;120;;100
8;1;357979;10/12/2003;204;;100
8;1;366730;05/11/2004;120;;100
8;1;368385;01/12/2004;204;;100
8;1;320021;07/06/1999;221;;100
8;1;320030;01/01/2000;120;;100
8;1;320030;07/06/1999;221;;100
8;1;322946;01/01/2000;120;;100
8;1;322946;18/09/1999;221;;100
8;1;327077;06/12/1999;204;;100
8;1;329622;01/07/2001;186;;100
8;1;329622;07/04/2000;120;;100
8;1;338010;12/04/2001;204;;100
8;1;338036;12/04/2001;120;;100
8;1;345156;01/10/2004;186;;100
8;1;345156;01/04/2002;120;;100
8;1;345156;10/01/2002;204;;100
8;1;346551;15/05/2002;68;;100
8;1;346772;07/06/2002;120;;100
8;1;351121;22/11/2002;120;;100
8;1;353132;16/11/2004;186;;100
8;1;353132;10/03/2003;120;;100
8;1;353205;12/03/2003;68;;100
8;1;361410;20/01/2004;120;;100
8;1;364789;21/07/2004;120;;100
8;1;366714;04/11/2004;120;;100
8;1;370703;10/12/2004;204;;100
8;1;242896;01/08/2001;80;;100
8;1;242896;26/09/1999;197;;100
8;1;242896;01/08/1996;122;;100
8;1;242896;01/08/1994;104;;100
8;1;242896;01/12/1992;109;;100
8;1;288535;09/11/1999;79;;100
8;1;288535;01/09/1999;96;;100
8;1;288535;10/09/1996;103;;100
8;1;288535;01/09/1996;104;;100
8;1;302848;01/09/2000;80;;100
8;1;302848;03/09/1997;122;;100
8;1;320897;19/07/1999;74;;100
8;1;320900;01/09/1999;99;;100
8;1;320900;19/07/1999;74;;100
8;1;320919;01/01/2000;122;;100
8;1;320919;19/07/1999;74;;100
8;1;320927;01/01/2000;122;;100
8;1;320927;19/06/1999;74;;100
8;1;320943;19/07/1999;74;;100
8;1;320951;19/07/1999;74;;100
8;1;320960;19/07/1999;74;;100
8;1;320978;01/01/2000;122;;100
8;1;320978;19/07/1999;74;;100
8;1;320986;01/01/2000;122;;100
8;1;320986;19/07/1999;74;;100
8;1;320994;01/01/2000;122;;100
8;1;320994;19/07/1999;74;;100
8;1;321010;01/01/2000;122;;100
8;1;321010;19/07/1999;74;;100
8;1;321036;01/01/2000;122;;100
8;1;321036;19/07/1999;74;;100
8;1;321044;01/01/2000;122;;100
8;1;321044;19/07/1999;74;;100
8;1;321052;01/01/2000;122;;100
8;1;321052;19/07/1999;74;;100
8;1;322326;08/09/1999;68;;100
8;1;323136;01/01/2000;122;;100
8;1;323136;16/09/1999;74;;100
8;1;323500;01/10/1999;123;;100
8;1;323519;01/10/1999;74;;100
8;1;324531;01/01/2000;122;;100
8;1;324531;09/11/1999;74;;100
8;1;326500;25/11/1999;204;;100
8;1;326569;25/11/1999;204;;100
8;1;326577;25/11/1999;204;;100
8;1;327620;10/08/2000;122;;100
8;1;327620;10/12/1999;123;;100
8;1;330906;03/07/2000;122;;100
8;1;331155;09/12/2001;197;;100
8;1;331155;19/07/2000;122;;100
8;1;334189;25/11/2000;204;;100
8;1;334197;25/11/2000;204;;100
8;1;334316;25/11/2000;204;;100
8;1;334880;17/11/2000;204;;100
8;1;334880;22/05/2000;15;;100
8;1;338044;16/04/2001;122;;100
8;1;338192;02/05/2001;204;;100
8;1;338656;21/05/2001;122;;100
8;1;338826;04/06/2001;122;;100
8;1;343528;27/11/2001;204;;100
8;1;343552;01/12/2001;122;;100
8;1;345679;01/03/2002;68;;100
8;1;80147;27/11/2001;227;;100
8;1;80148;27/11/2001;227;;100
8;1;80163;20/03/2002;227;;100
8;1;80185;09/05/2002;227;;100
8;1;252484;01/04/1993;68;;100
8;1;260321;01/05/1999;79;;100
8;1;260321;01/05/1996;93;;100
8;1;260321;01/03/1996;96;;100
8;1;260321;01/07/1994;225;;100
8;1;323160;27/09/1999;74;;100
8;1;323179;01/09/2002;122;;100
8;1;323179;09/07/2001;155;;100
8;1;323179;01/01/2000;122;;100
8;1;323179;27/09/1999;74;;100
8;1;323187;27/09/1999;74;;100
8;1;323195;01/01/2000;122;;100
8;1;323195;27/09/1999;74;;100
8;1;323209;01/01/2000;122;;100
8;1;323209;27/09/1999;74;;100
8;1;323217;01/01/2000;122;;100
8;1;323217;27/09/1999;74;;100
8;1;323225;01/01/2000;122;;100
8;1;323225;27/09/1999;74;;100
8;1;323233;01/01/2000;122;;100
8;1;323233;27/09/1999;74;;100
8;1;323241;01/01/2000;122;;100
8;1;323241;27/09/1999;74;;100
8;1;323250;27/09/1999;74;;100
8;1;323268;01/01/2000;122;;100
8;1;323268;27/09/1999;74;;100
8;1;323276;27/09/1999;123;;100
8;1;323292;01/01/2000;122;;100
8;1;323292;27/09/1999;74;;100
8;1;323306;01/01/2000;197;;100
