codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_centro_custos
4;1;379678;09/12/13;001
4;1;379678;17/02/10;002
4;1;379684;22/02/10;002
4;1;379700;22/02/10;002
4;1;379711;22/02/10;003
4;1;379712;22/02/10;002
4;1;379753;15/03/10;002
4;1;379754;15/03/10;002
4;1;379754;16/02/16;001
4;1;379816;05/04/10;002
4;1;379817;05/04/10;003
4;1;379817;06/09/11;002
4;1;379818;05/04/10;003
4;1;379872;01/04/10;001
4;1;379872;19/04/10;001
4;1;379958;01/04/12;003
4;1;379958;06/09/11;001
4;1;379958;07/06/10;003
4;1;380050;12/07/10;003
4;1;380140;01/09/10;003
4;1;380140;17/11/11;002
4;1;380143;01/09/10;002
4;1;380154;01/09/10;002
4;1;380514;06/06/11;003
4;1;380514;10/01/11;002
4;1;380515;06/06/11;002
4;1;380515;10/01/11;003
4;1;380516;06/06/11;003
4;1;380516;10/01/11;002
4;1;380580;01/02/11;002
4;1;380580;10/06/13;001
4;1;380580;11/06/12;003
4;1;380580;18/06/18;003
4;1;380580;22/02/12;001
4;1;380584;01/02/11;003
4;1;380584;01/11/13;002
4;1;380585;01/02/11;002
4;1;380586;01/02/11;003
4;1;380593;01/02/11;003
4;1;380595;01/02/11;002
4;1;380596;01/02/11;003
4;1;380597;01/02/11;003
4;1;380598;01/02/11;002
4;1;380637;09/10/12;001
4;1;380637;10/06/13;003
4;1;380637;11/06/12;003
4;1;380637;20/06/14;002
4;1;380637;21/02/11;002
4;1;380639;21/02/11;002
4;1;380730;21/03/11;002
4;1;380730;22/03/11;002
4;1;380737;04/04/11;003
4;1;380738;04/04/11;002
4;1;380739;01/04/12;002
4;1;380739;04/04/11;003
4;1;380747;04/04/11;002
4;1;380747;11/06/12;001
4;1;380795;15/04/13;001
4;1;380795;25/04/11;002
4;1;380812;25/04/11;002
4;1;380813;25/04/11;003
4;1;380814;01/08/12;002
4;1;380814;25/04/11;003
4;1;381008;04/07/11;003
4;1;381009;04/07/11;003
4;1;381010;04/07/11;003
4;1;381010;16/02/16;001
4;1;381011;04/07/11;003
4;1;381163;22/08/11;002
4;1;381166;20/03/13;001
4;1;381166;22/08/11;002
4;1;381169;22/08/11;002
4;1;381225;21/09/11;003
4;1;381227;01/06/19;001
4;1;381227;07/10/20;002
4;1;381227;21/09/11;002
4;1;381227;23/04/13;002
4;1;381391;01/02/12;003
4;1;381391;01/12/11;001
4;1;381391;31/10/11;003
4;1;381392;01/02/12;002
4;1;381392;01/12/11;001
4;1;381392;31/10/11;002
4;1;381394;01/02/12;002
4;1;381394;01/12/11;001
4;1;381394;31/10/11;002
4;1;381664;22/02/12;003
4;1;381666;22/02/12;003
4;1;381667;22/02/12;002
4;1;381671;22/02/12;003
4;1;381675;22/02/12;003
4;1;381677;16/02/16;001
4;1;381677;22/02/12;002
4;1;381679;01/07/18;001
4;1;381679;01/09/13;003
4;1;381679;22/02/12;002
4;1;381680;22/02/12;002
4;1;381878;01/08/14;002
4;1;381878;06/04/15;003
4;1;381878;16/02/16;001
4;1;381878;23/04/12;003
4;1;381896;09/05/12;001
4;1;381909;10/05/12;003
4;1;381924;10/05/12;003
4;1;381924;14/06/18;002
4;1;381924;16/02/16;001
4;1;381926;10/05/12;003
4;1;382308;01/10/12;003
4;1;382311;01/10/12;003
4;1;382492;05/12/12;003
4;1;382527;05/12/12;002
4;1;382528;05/12/12;003
4;1;382644;04/02/13;002
4;1;382645;04/02/13;003
4;1;382646;04/02/13;002
4;1;382647;04/02/13;002
4;1;382648;04/02/13;003
4;1;382648;15/03/18;002
4;1;382648;15/06/18;001
4;1;382648;16/02/16;001
4;1;382649;04/02/13;002
4;1;382649;16/02/16;001
4;1;382649;23/04/17;003
4;1;382650;04/02/13;003
4;1;382651;04/02/13;003
4;1;382651;16/02/16;001
4;1;382652;04/02/13;002
4;1;382652;27/01/14;002
4;1;382653;04/02/13;002
4;1;382653;16/12/14;002
4;1;382654;04/02/13;003
4;1;382655;04/02/13;002
4;1;382695;04/03/13;003
4;1;382696;01/06/18;002
4;1;382696;04/03/13;002
4;1;382696;16/02/16;001
4;1;382701;04/03/13;003
4;1;382703;04/03/13;003
4;1;382703;16/02/16;001
4;1;382783;18/03/13;003
4;1;382788;18/03/13;001
4;1;382976;04/11/19;001
4;1;382976;27/06/22;001
4;1;383068;12/06/13;002
4;1;383069;12/06/13;002
4;1;383100;01/07/13;002
4;1;383344;04/08/14;002
4;1;383344;11/09/13;003
4;1;383344;24/09/20;001
4;1;383422;01/03/18;002
4;1;383422;02/10/13;002
4;1;383422;16/02/16;001
4;1;383423;02/10/13;002
4;1;383423;08/06/15;003
4;1;383423;16/02/16;001
4;1;383424;02/10/13;002
4;1;383425;02/10/13;002
4;1;383456;21/10/13;003
4;1;383457;21/10/13;002
4;1;383458;21/10/13;003
4;1;383672;09/01/19;001
