codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;categoria_colaborador
8;1;387694;31/05/2018;101
8;1;387569;31/05/2018;101
8;1;386357;31/05/2018;101
8;1;386436;31/05/2018;101
8;1;386162;31/05/2018;101
8;1;386704;31/05/2018;101
8;1;386714;31/05/2018;101
8;1;386742;31/05/2018;101
8;1;386465;31/05/2018;101
8;1;386546;31/05/2018;101
8;1;386551;31/05/2018;101
8;1;386602;31/05/2018;101
8;1;386616;31/05/2018;101
8;1;386664;31/05/2018;101
8;1;386799;31/05/2018;101
8;1;386882;31/05/2018;101
8;1;386896;31/05/2018;103
8;1;386906;31/05/2018;101
8;1;386961;31/05/2018;101
8;1;386970;31/05/2018;101
8;1;387000;31/05/2018;101
8;1;387004;31/05/2018;101
8;1;387008;31/05/2018;101
8;1;387010;31/05/2018;101
8;1;387270;31/05/2018;101
8;1;387053;31/05/2018;101
8;1;387107;31/05/2018;101
8;1;387118;31/05/2018;101
8;1;387168;31/05/2018;101
8;1;387178;31/05/2018;101
8;1;387236;31/05/2018;101
8;1;387241;31/05/2018;101
8;1;387258;31/05/2018;101
8;1;238911;31/05/2018;101
8;1;270181;31/05/2018;101
8;1;284840;31/05/2018;101
8;1;295653;31/05/2018;101
8;1;297186;31/05/2018;101
8;1;299340;31/05/2018;101
8;1;304166;31/05/2018;101
8;1;311243;31/05/2018;101
8;1;313254;31/05/2018;101
8;1;324710;31/05/2018;101
8;1;328367;31/05/2018;101
8;1;355216;31/05/2018;101
8;1;366765;31/05/2018;101
8;1;376310;31/05/2018;101
8;1;376640;31/05/2018;101
8;1;344664;31/05/2018;101
8;1;378290;31/05/2018;101
8;1;378374;31/05/2018;101
8;1;378438;31/05/2018;101
8;1;378532;31/05/2018;101
8;1;378574;31/05/2018;101
8;1;387280;31/05/2018;101
8;1;378633;31/05/2018;101
8;1;378645;31/05/2018;101
8;1;379003;31/05/2018;101
8;1;379234;31/05/2018;101
8;1;377657;31/05/2018;101
8;1;377769;31/05/2018;101
8;1;377862;31/05/2018;101
8;1;377897;31/05/2018;101
8;1;377985;31/05/2018;101
8;1;380657;31/05/2018;101
8;1;380782;31/05/2018;101
8;1;379933;31/05/2018;101
8;1;380271;31/05/2018;101
8;1;380284;31/05/2018;101
8;1;380468;31/05/2018;101
8;1;380488;31/05/2018;101
8;1;380576;31/05/2018;101
8;1;381663;31/05/2018;101
8;1;381965;31/05/2018;101
8;1;382080;31/05/2018;101
8;1;382139;31/05/2018;101
8;1;382318;31/05/2018;101
8;1;382554;31/05/2018;101
8;1;383043;31/05/2018;101
8;1;383292;31/05/2018;101
8;1;383527;31/05/2018;101
8;1;383840;31/05/2018;101
8;1;383911;31/05/2018;101
8;1;384687;31/05/2018;101
8;1;385078;31/05/2018;101
8;1;385112;31/05/2018;101
8;1;385353;31/05/2018;101
8;1;385431;31/05/2018;101
8;1;385553;31/05/2018;101
8;1;384934;31/05/2018;101
8;1;385817;31/05/2018;101
8;1;386000;31/05/2018;101
8;1;386002;31/05/2018;101
8;1;386073;31/05/2018;101
8;1;385668;31/05/2018;101
8;1;385758;31/05/2018;101
8;1;387599;31/05/2018;101
8;1;387632;31/05/2018;101
8;1;387635;31/05/2018;101
8;1;387664;31/05/2018;101
8;1;387680;31/05/2018;101
8;1;387710;31/05/2018;101
8;1;387711;31/05/2018;101
8;1;387532;31/05/2018;101
8;1;387568;31/05/2018;101
8;1;387740;31/05/2018;101
8;1;387746;31/05/2018;101
8;1;387790;31/05/2018;101
8;1;387279;31/05/2018;101
8;1;387290;31/05/2018;101
8;1;387308;31/05/2018;101
8;1;387319;31/05/2018;103
8;1;387342;31/05/2018;101
8;1;387351;31/05/2018;101
8;1;387397;31/05/2018;101
8;1;387414;31/05/2018;101
8;1;387426;31/05/2018;101
8;1;387439;31/05/2018;101
8;1;387451;31/05/2018;101
8;1;387456;31/05/2018;101
8;1;387508;31/05/2018;101
8;1;377586;31/05/2018;101
8;1;378737;31/05/2018;101
8;1;385210;31/05/2018;101
8;1;385486;31/05/2018;101
8;1;385498;31/05/2018;101
8;1;386214;31/05/2018;101
8;1;386261;31/05/2018;101
8;1;386311;31/05/2018;101
8;1;386224;31/05/2018;101
8;1;386233;31/05/2018;101
8;1;386255;31/05/2018;101
8;1;386117;31/05/2018;101
8;1;386276;31/05/2018;101
8;1;386289;31/05/2018;101
8;1;386303;31/05/2018;101
8;1;386137;31/05/2018;101
8;1;386397;31/05/2018;101
8;1;386426;31/05/2018;101
8;1;386730;31/05/2018;101
8;1;386459;31/05/2018;101
8;1;386476;31/05/2018;101
8;1;386507;31/05/2018;101
8;1;386559;31/05/2018;101
8;1;386610;31/05/2018;101
8;1;386621;31/05/2018;101
8;1;386633;31/05/2018;101
8;1;386667;31/05/2018;101
8;1;386681;31/05/2018;101
8;1;387025;31/05/2018;103
8;1;386819;31/05/2018;101
8;1;386824;31/05/2018;101
8;1;386839;31/05/2018;101
8;1;386873;31/05/2018;101
8;1;386913;31/05/2018;101
8;1;386976;31/05/2018;101
8;1;387001;31/05/2018;101
8;1;387024;31/05/2018;103
8;1;387272;31/05/2018;101
8;1;387069;31/05/2018;101
8;1;387110;31/05/2018;101
8;1;387124;31/05/2018;101
8;1;387130;31/05/2018;101
8;1;387158;31/05/2018;101
8;1;387220;31/05/2018;101
8;1;387225;31/05/2018;101
8;1;387256;31/05/2018;101
8;1;182630;31/05/2018;101
8;1;259586;31/05/2018;101
8;1;281603;31/05/2018;101
8;1;287342;31/05/2018;101
8;1;311693;31/05/2018;101
8;1;321672;31/05/2018;101
8;1;330086;31/05/2018;101
8;1;332895;31/05/2018;101
8;1;353752;31/05/2018;101
8;1;354414;31/05/2018;101
8;1;355895;31/05/2018;101
8;1;357499;31/05/2018;101
8;1;363901;31/05/2018;101
8;1;372102;31/05/2018;101
8;1;376746;31/05/2018;101
8;1;346276;31/05/2018;101
8;1;348147;31/05/2018;101
8;1;378553;31/05/2018;101
8;1;378660;31/05/2018;101
8;1;378713;31/05/2018;101
8;1;379132;31/05/2018;101
8;1;377432;31/05/2018;101
8;1;377701;31/05/2018;101
8;1;377956;31/05/2018;101
8;1;380919;31/05/2018;101
8;1;379735;31/05/2018;101
8;1;381442;31/05/2018;101
8;1;381467;31/05/2018;101
8;1;381606;31/05/2018;101
8;1;381648;31/05/2018;101
8;1;381930;31/05/2018;101
8;1;381945;31/05/2018;101
8;1;381969;31/05/2018;101
8;1;382277;31/05/2018;101
8;1;382364;31/05/2018;101
8;1;382557;31/05/2018;101
8;1;382669;31/05/2018;101
8;1;382970;31/05/2018;101
8;1;383162;31/05/2018;101
8;1;383386;31/05/2018;101
8;1;383404;31/05/2018;101
8;1;383516;31/05/2018;101
8;1;383679;31/05/2018;101
8;1;383688;31/05/2018;101
8;1;383923;31/05/2018;101
8;1;384136;31/05/2018;101
8;1;384140;31/05/2018;101
8;1;384160;31/05/2018;101
8;1;384386;31/05/2018;101
8;1;384416;31/05/2018;101
8;1;384962;31/05/2018;101
8;1;384973;31/05/2018;101
8;1;385024;31/05/2018;101
8;1;385109;31/05/2018;101
8;1;385203;31/05/2018;101
8;1;385469;31/05/2018;101
8;1;384850;31/05/2018;101
8;1;384865;31/05/2018;101
8;1;384876;31/05/2018;101
8;1;384883;31/05/2018;101
8;1;385950;31/05/2018;101
8;1;385974;31/05/2018;101
8;1;385981;31/05/2018;101
8;1;386090;31/05/2018;101
8;1;385604;31/05/2018;101
8;1;385672;31/05/2018;101
8;1;385684;31/05/2018;101
8;1;385701;31/05/2018;101
8;1;385738;31/05/2018;101
8;1;387622;31/05/2018;101
8;1;387638;31/05/2018;101
8;1;387689;31/05/2018;101
8;1;387526;31/05/2018;101
8;1;387807;31/05/2018;101
8;1;387712;31/05/2018;101
8;1;387718;31/05/2018;101
8;1;387778;31/05/2018;101
8;1;387781;31/05/2018;101
8;1;387400;31/05/2018;101
8;1;387455;31/05/2018;101
8;1;387515;31/05/2018;101
8;1;387518;31/05/2018;101
8;1;387520;31/05/2018;103
8;1;373443;31/05/2018;722
8;1;386305;31/05/2018;101
8;1;387588;31/05/2018;101
8;1;387822;31/05/2018;101
8;1;387729;31/05/2018;103
8;1;387739;31/05/2018;722
8;1;386108;31/05/2018;101
8;1;379878;31/05/2018;101
8;1;379965;31/05/2018;101
8;1;386188;31/05/2018;101
8;1;386197;31/05/2018;101
8;1;386211;31/05/2018;101
8;1;386113;31/05/2018;101
8;1;386244;31/05/2018;101
8;1;386288;31/05/2018;101
8;1;386292;31/05/2018;101
8;1;386334;31/05/2018;101
8;1;386353;31/05/2018;101
8;1;386373;31/05/2018;101
8;1;386390;31/05/2018;101
8;1;386391;31/05/2018;101
8;1;386414;31/05/2018;101
8;1;386441;31/05/2018;101
8;1;386158;31/05/2018;101
8;1;386458;31/05/2018;101
8;1;386705;31/05/2018;101
8;1;386756;31/05/2018;101
8;1;386630;31/05/2018;101
8;1;386662;31/05/2018;101
8;1;386663;31/05/2018;101
8;1;386683;31/05/2018;101
8;1;386692;31/05/2018;101
8;1;387028;31/05/2018;103
8;1;387030;31/05/2018;103
8;1;386798;31/05/2018;101
8;1;386822;31/05/2018;101
8;1;386907;31/05/2018;101
8;1;386936;31/05/2018;103
8;1;386939;31/05/2018;101
8;1;386962;31/05/2018;101
8;1;386986;31/05/2018;101
8;1;387079;31/05/2018;101
8;1;387088;31/05/2018;103
8;1;387115;31/05/2018;101
8;1;387166;31/05/2018;101
8;1;387217;31/05/2018;101
8;1;387223;31/05/2018;101
8;1;387246;31/05/2018;103
8;1;387262;31/05/2018;101
8;1;6970;31/05/2018;101
8;1;205915;31/05/2018;101
8;1;260495;31/05/2018;101
8;1;299294;31/05/2018;101
8;1;319252;31/05/2018;101
8;1;324574;31/05/2018;101
8;1;331805;31/05/2018;101
8;1;361852;31/05/2018;101
8;1;366161;31/05/2018;101
8;1;372870;31/05/2018;101
8;1;373575;31/05/2018;101
8;1;376890;31/05/2018;101
8;1;376941;31/05/2018;101
8;1;339873;31/05/2018;101
8;1;339890;31/05/2018;101
8;1;342351;31/05/2018;101
8;1;378226;31/05/2018;101
8;1;378819;31/05/2018;101
8;1;378992;31/05/2018;101
8;1;379135;31/05/2018;101
8;1;380309;31/05/2018;101
8;1;380380;31/05/2018;101
8;1;386700;31/05/2018;101
8;1;386746;31/05/2018;101
8;1;386466;31/05/2018;101
